school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Gaithersburg HS,2079,53.4,46.6,≤5.0,9.6,26.4,40.6,≤5.0,19.7,≤5.0,11.4,44.2,14.2,High School,2013-2014
Walter Johnson HS,2237,52.3,47.7,≤5.0,13.2,8.3,16.9,≤5.0,56.2,5.1,≤5.0,7.8,11.0,High School,2013-2014
John F. Kennedy HS,1580,53.2,46.8,≤5.0,9.4,36.1,48.7,≤5.0,≤5.0,≤5.0,8.9,54.2,14.3,High School,2013-2014
Col. Zadok Magruder HS,1595,50.5,49.5,≤5.0,15.7,18.4,32.9,≤5.0,29.5,≤5.0,≤5.0,33.2,9.2,High School,2013-2014
Richard Montgomery HS,2166,49.1,50.9,≤5.0,25.8,15.7,22.9,≤5.0,30.0,5.4,6.3,19.3,8.1,High School,2013-2014
Northwest HS,2011,50.1,49.9,≤5.0,18.0,26.6,20.7,≤5.0,29.3,5.2,≤5.0,26.6,11.0,High School,2013-2014
Northwood HS,1497,52.2,47.8,≤5.0,6.5,27.2,48.3,≤5.0,15.1,≤5.0,11.2,47.7,14.3,High School,2013-2014
Paint Branch HS,1947,51.9,48.1,≤5.0,15.7,53.0,16.6,≤5.0,11.0,≤5.0,≤5.0,34.8,9.2,High School,2013-2014
Poolesville HS,1202,50.5,49.5,≤5.0,25.6,5.2,7.3,≤5.0,56.1,5.6,≤5.0,7.3,5.2,High School,2013-2014
Quince Orchard HS,1878,50.6,49.4,≤5.0,12.5,15.9,20.9,≤5.0,46.8,≤5.0,5.2,21.9,9.9,High School,2013-2014
Rockville HS,1305,51.0,49.0,≤5.0,11.1,14.6,33.9,≤5.0,36.2,≤5.0,7.0,30.3,16.4,High School,2013-2014
Seneca Valley HS,1275,51.6,48.4,≤5.0,10.8,34.0,28.3,≤5.0,21.6,≤5.0,7.3,35.4,13.7,High School,2013-2014
Sherwood HS,1980,49.2,50.8,≤5.0,12.2,16.8,13.0,≤5.0,54.6,≤5.0,8.3,15.5,9.1,High School,2013-2014
Springbrook HS,1749,56.0,44.0,≤5.0,11.6,42.3,33.7,≤5.0,9.3,≤5.0,8.9,44.0,10.6,High School,2013-2014
Watkins Mill HS,1449,52.6,47.4,≤5.0,9.6,37.5,36.0,≤5.0,12.6,≤5.0,9.1,50.1,12.9,High School,2013-2014
Wheaton HS,1336,57.6,42.4,≤5.0,10.6,25.6,53.7,≤5.0,7.8,≤5.0,15.4,58.9,12.6,High School,2013-2014
Walt Whitman HS,1921,51.5,48.5,≤5.0,12.3,≤5.0,9.0,≤5.0,70.1,5.3,≤5.0,≤5.0,11.8,High School,2013-2014
Thomas S. Wootton HS,2259,50.2,49.8,≤5.0,34.7,6.4,7.0,≤5.0,47.2,≤5.0,≤5.0,≤5.0,6.7,High School,2013-2014
