school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Arcola ES,708,52.0,48.0,≤5.0,8.3,17.5,68.5,≤5.0,≤5.0,≤5.0,44.8,75.6,9.0,Elementary School,2013-2014
Ashburton ES,837,51.3,48.7,≤5.0,14.7,13.0,12.8,≤5.0,50.9,8.4,10.6,11.4,14.0,Elementary School,2013-2014
Bannockburn ES,398,51.8,48.2,≤5.0,10.8,≤5.0,7.5,≤5.0,68.1,10.8,10.8,≤5.0,5.8,Elementary School,2013-2014
Lucy V. Barnsley ES,681,57.1,42.9,≤5.0,15.3,10.4,29.1,≤5.0,39.2,6.0,13.1,28.2,13.5,Elementary School,2013-2014
Beall ES,782,54.7,45.3,≤5.0,25.1,13.4,19.1,≤5.0,34.4,7.8,15.6,25.4,8.1,Elementary School,2013-2014
Bel Pre ES,471,54.4,45.6,≤5.0,7.0,43.1,38.9,≤5.0,6.6,≤5.0,43.9,70.5,9.3,Elementary School,2013-2014
Bells Mill ES,592,51.5,48.5,≤5.0,23.6,12.0,7.4,≤5.0,50.5,6.3,8.8,10.3,8.4,Elementary School,2013-2014
Belmont ES,309,51.8,48.2,≤5.0,6.5,6.5,10.7,≤5.0,73.5,≤5.0,≤5.0,6.8,10.0,Elementary School,2013-2014
Bethesda ES,493,51.5,48.5,≤5.0,14.2,7.9,11.8,≤5.0,59.8,6.3,12.2,6.3,11.6,Elementary School,2013-2014
Beverly Farms ES,593,48.6,51.4,≤5.0,27.3,5.4,9.8,≤5.0,50.6,6.7,5.6,≤5.0,7.8,Elementary School,2013-2014
Bradley Hills ES,577,51.6,48.4,≤5.0,10.6,≤5.0,9.4,≤5.0,67.8,10.9,6.8,≤5.0,5.7,Elementary School,2013-2014
Broad Acres ES,720,50.7,49.3,≤5.0,5.7,13.5,80.1,≤5.0,≤5.0,≤5.0,66.4,94.3,6.7,Elementary School,2013-2014
Brooke Grove ES,388,53.6,46.4,≤5.0,17.3,21.4,12.4,≤5.0,47.2,≤5.0,9.5,25.5,16.2,Elementary School,2013-2014
Brookhaven ES,457,56.5,43.5,≤5.0,6.3,32.2,48.1,≤5.0,9.6,≤5.0,38.1,66.7,24.3,Elementary School,2013-2014
Brown Station ES,533,50.3,49.7,≤5.0,7.9,33.8,42.2,≤5.0,10.1,5.8,24.2,69.4,14.4,Elementary School,2013-2014
Burning Tree ES,502,51.6,48.4,≤5.0,18.3,≤5.0,≤5.0,≤5.0,65.7,7.2,8.2,≤5.0,14.5,Elementary School,2013-2014
Burnt Mills ES,496,50.4,49.6,≤5.0,≤5.0,67.7,18.1,≤5.0,8.5,≤5.0,22.6,67.3,6.3,Elementary School,2013-2014
Burtonsville ES,649,48.7,51.3,≤5.0,16.2,61.2,12.3,≤5.0,5.5,≤5.0,16.8,52.1,5.1,Elementary School,2013-2014
Candlewood ES,338,49.7,50.3,≤5.0,19.8,10.9,19.2,≤5.0,43.5,5.9,16.0,19.5,≤5.0,Elementary School,2013-2014
Cannon Road ES,428,55.4,44.6,≤5.0,10.5,36.4,40.7,≤5.0,8.2,≤5.0,15.9,60.5,12.9,Elementary School,2013-2014
Carderock Springs ES,424,54.5,45.5,≤5.0,13.4,≤5.0,8.3,≤5.0,71.2,≤5.0,≤5.0,≤5.0,8.5,Elementary School,2013-2014
Rachel Carson ES,958,48.6,51.4,≤5.0,13.3,6.2,18.1,≤5.0,55.8,6.6,12.3,18.6,8.8,Elementary School,2013-2014
Cashell ES,323,52.3,47.7,≤5.0,11.8,13.9,19.8,≤5.0,47.7,6.5,10.8,20.4,11.5,Elementary School,2013-2014
Cedar Grove ES,730,51.6,48.4,≤5.0,39.5,11.6,9.6,≤5.0,33.6,5.3,9.5,13.8,7.4,Elementary School,2013-2014
Chevy Chase ES,532,50.2,49.8,≤5.0,≤5.0,10.9,8.8,≤5.0,70.5,5.8,6.0,13.9,7.3,Elementary School,2013-2014
Clarksburg ES,279,52.0,48.0,≤5.0,40.1,13.3,15.1,≤5.0,25.4,5.4,14.3,17.9,10.8,Elementary School,2013-2014
Clearspring ES,603,50.9,49.1,≤5.0,13.9,12.8,19.9,≤5.0,46.1,7.3,9.1,24.0,12.3,Elementary School,2013-2014
Clopper Mill ES,451,51.9,48.1,≤5.0,5.3,39.0,44.3,≤5.0,7.3,≤5.0,25.7,67.8,14.0,Elementary School,2013-2014
Cloverly ES,459,54.2,45.8,≤5.0,17.4,19.0,18.5,≤5.0,37.3,7.4,11.1,18.3,18.7,Elementary School,2013-2014
Cold Spring ES,344,54.4,45.6,≤5.0,38.4,≤5.0,7.0,≤5.0,43.3,7.3,5.8,≤5.0,≤5.0,Elementary School,2013-2014
College Gardens ES,852,49.9,50.1,≤5.0,23.1,16.7,14.4,≤5.0,37.9,7.9,12.4,15.1,6.1,Elementary School,2013-2014
