school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Arcola ES,704,48.7,51.3,≤5.0,8.4,18.6,68.2,≤5.0,≤5.0,≤5.0,44.9,76.8,10.4,Elementary School,2016-2017
Ashburton ES,905,51.3,48.7,≤5.0,15.0,14.9,16.1,≤5.0,43.8,9.7,11.6,12.5,12.8,Elementary School,2016-2017
Bannockburn ES,454,51.5,48.5,≤5.0,11.7,≤5.0,8.8,≤5.0,67.8,8.1,6.8,≤5.0,7.7,Elementary School,2016-2017
Lucy V. Barnsley ES,712,55.8,44.2,≤5.0,14.0,10.0,34.1,≤5.0,33.8,7.7,13.2,31.0,14.2,Elementary School,2016-2017
Beall ES,812,54.6,45.4,≤5.0,24.0,12.1,21.9,≤5.0,35.2,6.4,17.5,25.2,10.7,Elementary School,2016-2017
Bel Pre ES,575,53.2,46.8,≤5.0,≤5.0,36.7,49.6,≤5.0,7.5,≤5.0,50.1,71.0,8.0,Elementary School,2016-2017
Bells Mill ES,614,50.3,49.7,≤5.0,27.4,11.1,9.6,≤5.0,46.3,5.7,9.9,9.8,8.1,Elementary School,2016-2017
Belmont ES,320,48.8,51.3,≤5.0,8.1,5.3,8.4,≤5.0,72.5,5.6,≤5.0,7.5,9.1,Elementary School,2016-2017
Bethesda ES,597,52.4,47.6,≤5.0,16.1,6.7,11.2,≤5.0,59.8,6.2,12.7,7.4,10.7,Elementary School,2016-2017
Beverly Farms ES,569,52.4,47.6,≤5.0,31.1,7.7,9.5,≤5.0,44.6,7.0,7.4,≤5.0,7.4,Elementary School,2016-2017
Bradley Hills ES,639,49.8,50.2,≤5.0,11.6,≤5.0,7.5,≤5.0,67.8,11.1,5.2,≤5.0,≤5.0,Elementary School,2016-2017
Brooke Grove ES,424,53.5,46.5,≤5.0,16.7,22.9,14.6,≤5.0,41.7,≤5.0,12.5,29.0,19.8,Elementary School,2016-2017
Brookhaven ES,451,57.4,42.6,≤5.0,6.9,33.0,49.7,≤5.0,8.0,≤5.0,42.4,70.5,20.8,Elementary School,2016-2017
Brown Station ES,470,53.4,46.6,≤5.0,11.3,28.3,48.1,≤5.0,7.9,≤5.0,29.8,68.9,14.3,Elementary School,2016-2017
Burning Tree ES,512,55.9,44.1,≤5.0,16.8,6.4,9.4,≤5.0,58.4,8.6,9.6,5.9,17.6,Elementary School,2016-2017
Burnt Mills ES,569,51.3,48.7,≤5.0,≤5.0,60.3,25.7,≤5.0,7.2,≤5.0,23.4,65.4,7.4,Elementary School,2016-2017
Burtonsville ES,587,52.3,47.7,≤5.0,13.3,59.5,18.4,≤5.0,5.1,≤5.0,11.1,46.0,≤5.0,Elementary School,2016-2017
Candlewood ES,353,49.3,50.7,≤5.0,19.0,13.9,20.1,≤5.0,41.4,≤5.0,15.6,23.5,9.6,Elementary School,2016-2017
Cannon Road ES,411,48.9,51.1,≤5.0,10.5,34.8,46.7,≤5.0,≤5.0,≤5.0,13.4,66.2,11.7,Elementary School,2016-2017
Carderock Springs ES,407,50.6,49.4,≤5.0,15.7,≤5.0,9.6,≤5.0,64.6,6.9,≤5.0,≤5.0,9.3,Elementary School,2016-2017
Rachel Carson ES,1069,50.2,49.8,≤5.0,16.4,7.8,19.2,≤5.0,49.5,7.2,11.9,20.0,9.7,Elementary School,2016-2017
Cashell ES,378,54.5,45.5,≤5.0,8.2,12.2,26.2,≤5.0,44.4,9.0,13.2,26.5,14.3,Elementary School,2016-2017
Cedar Grove ES,601,49.6,50.4,≤5.0,39.9,10.8,12.0,≤5.0,32.4,≤5.0,9.8,9.8,9.3,Elementary School,2016-2017
Chevy Chase ES,556,48.9,51.1,≤5.0,8.5,18.2,10.3,≤5.0,56.3,6.7,7.0,19.8,6.1,Elementary School,2016-2017
Clarksburg ES,340,54.7,45.3,≤5.0,36.2,19.4,13.2,≤5.0,22.4,7.9,15.0,17.4,10.6,Elementary School,2016-2017
Clearspring ES,663,53.8,46.2,≤5.0,14.6,17.6,19.5,≤5.0,38.3,10.0,8.3,29.0,13.3,Elementary School,2016-2017
Clopper Mill ES,526,51.1,48.9,≤5.0,8.2,38.4,41.4,≤5.0,7.8,≤5.0,26.4,65.0,12.0,Elementary School,2016-2017
Cloverly ES,482,51.0,49.0,≤5.0,16.6,21.4,21.2,≤5.0,31.7,8.7,14.1,19.5,14.7,Elementary School,2016-2017
Cold Spring ES,320,55.3,44.7,≤5.0,39.1,≤5.0,8.4,≤5.0,39.7,8.8,≤5.0,≤5.0,5.9,Elementary School,2016-2017
College Gardens ES,878,50.5,49.5,≤5.0,22.1,17.9,14.4,≤5.0,38.0,7.3,16.3,14.5,5.5,Elementary School,2016-2017
Cresthaven ES,558,52.5,47.5,≤5.0,10.9,37.8,46.6,≤5.0,≤5.0,≤5.0,28.5,74.0,12.5,Elementary School,2016-2017
Capt. James E. Daly ES,649,48.8,51.2,≤5.0,6.3,39.8,43.9,≤5.0,6.8,≤5.0,35.7,72.6,11.7,Elementary School,2016-2017
Damascus ES,341,47.8,52.2,≤5.0,≤5.0,7.3,29.9,≤5.0,51.6,7.3,18.8,25.8,17.3,Elementary School,2016-2017
Darnestown ES,292,52.1,47.9,≤5.0,10.3,5.5,5.5,≤5.0,72.6,6.2,≤5.0,7.2,8.6,Elementary School,2016-2017
Diamond ES,697,52.7,47.3,≤5.0,45.9,10.8,11.5,≤5.0,26.1,5.3,25.1,9.9,9.3,Elementary School,2016-2017
Dr. Charles R. Drew ES,522,52.3,47.7,≤5.0,15.1,43.5,24.1,≤5.0,11.7,5.4,23.9,48.7,15.7,Elementary School,2016-2017
DuFief ES,298,52.0,48.0,≤5.0,26.5,7.0,13.8,≤5.0,45.0,7.7,15.4,12.4,27.5,Elementary School,2016-2017
East Silver Spring ES,534,52.8,47.2,≤5.0,≤5.0,53.0,23.0,≤5.0,14.4,≤5.0,27.9,57.3,16.1,Elementary School,2016-2017
Fairland ES,640,52.3,47.7,≤5.0,7.7,55.0,26.1,≤5.0,6.9,≤5.0,19.7,61.9,11.9,Elementary School,2016-2017
Fallsmead ES,530,51.1,48.9,≤5.0,30.8,9.1,8.5,≤5.0,46.4,≤5.0,9.4,10.4,10.4,Elementary School,2016-2017
Farmland ES,753,52.6,47.4,≤5.0,32.3,5.3,8.8,≤5.0,48.5,≤5.0,23.5,7.2,8.2,Elementary School,2016-2017
Fields Road ES,455,53.0,47.0,≤5.0,14.1,20.0,33.6,≤5.0,27.5,≤5.0,20.2,41.8,14.1,Elementary School,2016-2017
Flower Hill ES,498,55.0,45.0,≤5.0,10.6,30.5,47.4,≤5.0,6.4,≤5.0,38.4,66.1,12.9,Elementary School,2016-2017
Flower Valley ES,492,51.4,48.6,≤5.0,11.0,14.6,23.8,≤5.0,44.3,6.3,14.6,25.4,15.9,Elementary School,2016-2017
