school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Forest Knolls ES,728,50.4,49.6,≤5.0,6.9,15.5,40.8,≤5.0,30.6,6.0,21.4,33.5,11.0,Elementary School,2016-2017
Fox Chapel ES,634,51.7,48.3,≤5.0,19.1,27.1,40.7,≤5.0,9.5,≤5.0,32.5,56.2,7.9,Elementary School,2016-2017
Gaithersburg ES,845,52.3,47.7,≤5.0,≤5.0,15.3,74.7,≤5.0,≤5.0,≤5.0,47.8,81.7,11.5,Elementary School,2016-2017
Galway ES,786,54.1,45.9,≤5.0,9.7,61.1,23.2,≤5.0,≤5.0,≤5.0,28.6,59.2,12.0,Elementary School,2016-2017
Garrett Park ES,805,52.4,47.6,≤5.0,15.4,12.3,23.7,≤5.0,42.1,6.1,19.1,17.1,5.6,Elementary School,2016-2017
Georgian Forest ES,585,54.5,45.5,≤5.0,5.1,26.5,56.6,≤5.0,9.1,≤5.0,31.5,≥95.0,11.6,Elementary School,2016-2017
Germantown ES,341,56.0,44.0,≤5.0,18.8,33.4,23.8,≤5.0,18.2,5.6,12.3,39.9,20.5,Elementary School,2016-2017
"William B. Gibbs, Jr. ES",732,53.0,47.0,≤5.0,28.6,26.6,18.2,≤5.0,19.1,7.1,14.1,32.5,15.0,Elementary School,2016-2017
Glen Haven ES,505,52.7,47.3,≤5.0,8.3,22.6,49.9,≤5.0,15.4,≤5.0,32.5,61.0,12.9,Elementary School,2016-2017
Glenallan ES,716,52.0,48.0,≤5.0,8.4,33.9,47.1,≤5.0,8.2,≤5.0,25.8,61.5,11.5,Elementary School,2016-2017
Goshen ES,605,51.2,48.8,≤5.0,10.7,25.6,34.4,≤5.0,23.3,5.6,20.2,42.5,14.4,Elementary School,2016-2017
Great Seneca Creek ES,644,51.4,48.6,≤5.0,11.5,30.6,26.6,≤5.0,24.8,6.1,13.8,37.9,10.9,Elementary School,2016-2017
Greencastle ES,741,52.0,48.0,≤5.0,6.6,67.9,20.8,≤5.0,≤5.0,≤5.0,14.3,65.2,10.0,Elementary School,2016-2017
Greenwood ES,488,52.0,48.0,≤5.0,7.6,10.5,7.8,≤5.0,66.8,7.4,5.5,9.0,9.0,Elementary School,2016-2017
Harmony Hills ES,746,49.7,50.3,≤5.0,≤5.0,13.7,77.2,≤5.0,≤5.0,≤5.0,47.3,86.9,9.8,Elementary School,2016-2017
Highland ES,575,53.6,46.4,≤5.0,5.6,11.7,73.6,≤5.0,5.9,≤5.0,53.0,81.4,11.8,Elementary School,2016-2017
Highland View ES,405,52.1,47.9,≤5.0,≤5.0,25.7,29.6,≤5.0,36.8,≤5.0,29.1,44.2,5.4,Elementary School,2016-2017
Jackson Road ES,695,53.5,46.5,≤5.0,9.4,54.0,32.1,≤5.0,≤5.0,≤5.0,30.9,77.3,15.1,Elementary School,2016-2017
Jones Lane ES,455,53.8,46.2,≤5.0,8.4,12.5,28.6,≤5.0,45.3,≤5.0,18.2,27.3,15.2,Elementary School,2016-2017
Kemp Mill ES,529,47.4,52.6,≤5.0,≤5.0,15.3,75.4,≤5.0,≤5.0,≤5.0,49.3,80.7,7.8,Elementary School,2016-2017
Kensington Parkwood ES,655,51.8,48.2,≤5.0,6.4,5.3,12.4,≤5.0,66.0,9.8,8.2,8.9,10.2,Elementary School,2016-2017
Lake Seneca ES,532,53.9,46.1,≤5.0,7.1,34.8,36.8,≤5.0,14.7,6.2,28.2,57.5,16.9,Elementary School,2016-2017
Lakewood ES,543,51.6,48.4,≤5.0,46.0,10.9,8.7,≤5.0,28.4,5.5,11.4,7.7,11.0,Elementary School,2016-2017
Laytonsville ES,381,54.6,45.4,≤5.0,6.6,16.3,21.0,≤5.0,47.2,8.4,6.0,15.2,16.5,Elementary School,2016-2017
JoAnn Leleck ES,859,50.5,49.5,≤5.0,≤5.0,13.3,82.7,≤5.0,≤5.0,≤5.0,67.1,92.1,7.3,Elementary School,2016-2017
Little Bennett ES,634,49.8,50.2,≤5.0,29.2,18.9,13.9,≤5.0,28.2,9.3,9.9,16.2,11.5,Elementary School,2016-2017
Luxmanor ES,467,49.5,50.5,≤5.0,24.0,11.8,18.6,≤5.0,39.6,6.0,28.3,15.8,11.6,Elementary School,2016-2017
Thurgood Marshall ES,662,50.9,49.1,≤5.0,18.3,18.1,28.5,≤5.0,29.8,≤5.0,14.5,34.0,12.5,Elementary School,2016-2017
Maryvale ES,642,47.5,52.5,≤5.0,10.3,26.6,32.6,≤5.0,23.4,6.4,25.2,43.9,9.3,Elementary School,2016-2017
Spark M. Matsunaga ES,794,49.2,50.8,≤5.0,36.8,20.9,14.6,≤5.0,22.5,≤5.0,9.7,21.9,7.3,Elementary School,2016-2017
S. Christa McAuliffe ES,596,50.5,49.5,≤5.0,8.1,37.9,27.5,≤5.0,18.5,7.6,20.0,48.5,9.7,Elementary School,2016-2017
Ronald McNair ES,874,52.2,47.8,≤5.0,29.4,26.1,16.1,≤5.0,20.7,7.3,15.9,26.8,7.1,Elementary School,2016-2017
Meadow Hall ES,459,52.1,47.9,≤5.0,11.1,12.0,53.6,≤5.0,17.2,≤5.0,22.9,54.7,18.7,Elementary School,2016-2017
Mill Creek Towne ES,363,57.3,42.7,≤5.0,9.9,13.5,46.6,≤5.0,22.9,6.6,27.3,50.4,23.1,Elementary School,2016-2017
Monocacy ES,161,61.5,38.5,≤5.0,≤5.0,≤5.0,13.0,≤5.0,73.3,6.8,6.8,17.4,11.2,Elementary School,2016-2017
Montgomery Knolls ES,507,56.0,44.0,≤5.0,≤5.0,25.4,50.9,≤5.0,16.0,≤5.0,48.1,63.7,18.9,Elementary School,2016-2017
New Hampshire Estates ES,453,52.5,47.5,≤5.0,≤5.0,18.1,76.4,≤5.0,≤5.0,≤5.0,64.7,89.6,8.4,Elementary School,2016-2017
Roscoe R. Nix ES,495,54.1,45.9,≤5.0,6.9,37.4,49.9,≤5.0,≤5.0,≤5.0,51.3,77.0,8.1,Elementary School,2016-2017
North Chevy Chase ES,378,53.2,46.8,≤5.0,≤5.0,18.8,13.8,≤5.0,55.0,7.4,7.7,14.8,10.1,Elementary School,2016-2017
Oak View ES,437,49.2,50.8,≤5.0,≤5.0,17.2,66.6,≤5.0,10.1,≤5.0,32.5,74.4,8.7,Elementary School,2016-2017
Oakland Terrace ES,467,49.5,50.5,≤5.0,7.9,12.4,32.8,≤5.0,36.4,10.1,15.4,35.1,14.1,Elementary School,2016-2017
Olney ES,661,53.6,46.4,≤5.0,14.7,17.4,15.6,≤5.0,46.1,6.2,11.3,20.1,8.6,Elementary School,2016-2017
William Tyler Page ES,418,48.1,51.9,≤5.0,13.4,54.5,25.4,≤5.0,≤5.0,≤5.0,19.9,50.5,7.7,Elementary School,2016-2017
Pine Crest ES,492,50.8,49.2,≤5.0,5.3,22.6,40.0,≤5.0,27.8,≤5.0,23.4,48.2,10.0,Elementary School,2016-2017
Piney Branch ES,612,46.9,53.1,≤5.0,≤5.0,35.5,20.3,≤5.0,35.8,≤5.0,15.8,32.0,8.2,Elementary School,2016-2017
Poolesville ES,420,49.3,50.7,≤5.0,6.4,5.7,12.4,≤5.0,69.8,5.5,6.2,11.7,8.3,Elementary School,2016-2017
Potomac ES,432,52.5,47.5,≤5.0,34.3,≤5.0,5.3,≤5.0,49.8,6.7,5.8,≤5.0,6.5,Elementary School,2016-2017
Judith A. Resnik ES,628,51.0,49.0,≤5.0,10.7,30.9,39.6,≤5.0,13.5,≤5.0,29.5,53.8,8.0,Elementary School,2016-2017
Dr. Sally K. Ride ES,500,52.8,47.2,≤5.0,17.2,36.4,29.0,≤5.0,12.4,≤5.0,18.6,49.8,18.2,Elementary School,2016-2017
Ritchie Park ES,510,47.5,52.5,≤5.0,22.2,12.5,18.0,≤5.0,41.0,5.9,12.0,23.1,6.3,Elementary School,2016-2017
Rock Creek Forest ES,723,49.2,50.8,≤5.0,≤5.0,18.3,31.7,≤5.0,39.0,5.8,14.1,24.6,10.1,Elementary School,2016-2017
Rock Creek Valley ES,440,53.4,46.6,≤5.0,14.8,9.8,35.5,≤5.0,30.7,9.1,18.9,31.6,19.1,Elementary School,2016-2017
Rock View ES,642,55.8,44.2,≤5.0,10.3,17.6,42.2,≤5.0,22.9,6.2,26.2,50.5,14.6,Elementary School,2016-2017
Lois P. Rockwell ES,464,50.9,49.1,≤5.0,11.2,10.3,23.1,≤5.0,50.2,≤5.0,11.4,19.8,19.4,Elementary School,2016-2017
Rolling Terrace ES,903,49.1,50.9,≤5.0,≤5.0,14.1,67.6,≤5.0,12.6,≤5.0,49.5,72.0,7.5,Elementary School,2016-2017
Rosemary Hills ES,597,50.6,49.4,≤5.0,≤5.0,24.8,12.1,≤5.0,53.8,6.4,17.1,29.0,7.9,Elementary School,2016-2017
Rosemont ES,628,54.8,45.2,≤5.0,9.7,25.3,48.1,≤5.0,13.1,≤5.0,41.1,58.6,13.4,Elementary School,2016-2017
Sequoyah ES,404,54.7,45.3,≤5.0,11.4,13.6,49.8,≤5.0,21.8,≤5.0,34.9,55.0,16.3,Elementary School,2016-2017
Seven Locks ES,422,48.3,51.7,≤5.0,19.2,9.5,10.4,≤5.0,53.8,6.6,8.5,≤5.0,5.9,Elementary School,2016-2017
Sherwood ES,491,55.2,44.8,≤5.0,13.6,18.9,14.7,≤5.0,46.0,6.7,6.5,15.1,16.7,Elementary School,2016-2017
Sargent Shriver ES,798,50.9,49.1,≤5.0,8.1,10.2,76.9,≤5.0,≤5.0,≤5.0,47.6,79.8,7.5,Elementary School,2016-2017
Flora M. Singer ES,699,54.5,45.5,≤5.0,7.4,14.4,36.9,≤5.0,36.3,≤5.0,26.0,40.6,17.2,Elementary School,2016-2017
Sligo Creek ES,671,50.8,49.2,≤5.0,≤5.0,23.2,11.0,≤5.0,52.3,8.2,10.0,10.4,8.0,Elementary School,2016-2017
Somerset ES,595,48.4,51.6,≤5.0,9.2,≤5.0,14.6,≤5.0,64.0,8.1,15.3,6.1,5.5,Elementary School,2016-2017
South Lake ES,849,53.9,46.1,≤5.0,5.9,27.1,61.0,≤5.0,≤5.0,≤5.0,51.9,82.4,5.3,Elementary School,2016-2017
Stedwick ES,608,50.5,49.5,≤5.0,5.4,27.3,46.1,≤5.0,14.5,5.9,38.0,59.4,12.3,Elementary School,2016-2017
Stone Mill ES,618,52.3,47.7,≤5.0,49.7,11.2,7.3,≤5.0,27.0,≤5.0,13.1,10.5,13.1,Elementary School,2016-2017
Stonegate ES,518,50.0,50.0,≤5.0,15.1,35.5,19.1,≤5.0,20.8,9.1,13.1,22.6,14.9,Elementary School,2016-2017
Strathmore ES,453,52.8,47.2,≤5.0,6.2,41.3,43.5,≤5.0,5.3,≤5.0,22.3,63.4,11.0,Elementary School,2016-2017
Strawberry Knoll ES,659,51.3,48.7,≤5.0,12.7,25.0,43.9,≤5.0,10.8,6.7,20.0,45.7,16.2,Elementary School,2016-2017
Summit Hall ES,656,50.9,49.1,≤5.0,≤5.0,18.9,72.4,≤5.0,≤5.0,≤5.0,51.8,80.0,9.9,Elementary School,2016-2017
Takoma Park ES,647,51.2,48.8,≤5.0,≤5.0,33.7,15.3,≤5.0,40.2,6.6,26.0,34.2,6.6,Elementary School,2016-2017
Travilah ES,393,49.9,50.1,≤5.0,48.1,6.1,5.3,≤5.0,36.6,≤5.0,10.4,7.9,8.7,Elementary School,2016-2017
Twinbrook ES,563,53.1,46.9,≤5.0,13.5,10.7,60.7,≤5.0,11.4,≤5.0,51.7,68.7,8.9,Elementary School,2016-2017
Viers Mill ES,675,48.7,51.3,≤5.0,9.5,10.4,61.6,≤5.0,14.7,≤5.0,37.8,61.6,16.4,Elementary School,2016-2017
Washington Grove ES,445,53.0,47.0,≤5.0,8.1,21.8,57.8,≤5.0,10.1,≤5.0,55.3,76.0,17.5,Elementary School,2016-2017
Waters Landing ES,696,48.0,52.0,≤5.0,≤5.0,36.4,37.8,≤5.0,14.5,6.3,21.7,50.4,11.6,Elementary School,2016-2017
Watkins Mill ES,679,52.1,47.9,≤5.0,9.3,30.8,50.5,≤5.0,5.3,≤5.0,44.6,≥95.0,15.3,Elementary School,2016-2017
Wayside ES,517,53.6,46.4,≤5.0,41.2,6.0,8.1,≤5.0,39.3,5.4,8.9,≤5.0,8.7,Elementary School,2016-2017
Weller Road ES,686,49.0,51.0,≤5.0,8.7,7.0,77.6,≤5.0,≤5.0,≤5.0,46.2,77.4,10.5,Elementary School,2016-2017
Westbrook ES,407,51.4,48.6,≤5.0,≤5.0,≤5.0,9.8,≤5.0,74.9,7.9,≤5.0,≤5.0,15.0,Elementary School,2016-2017
Westover ES,288,57.3,42.7,≤5.0,14.6,35.1,22.6,≤5.0,21.5,5.9,11.1,21.5,27.8,Elementary School,2016-2017
Wheaton Woods ES,521,52.0,48.0,≤5.0,8.1,26.9,59.1,≤5.0,≤5.0,≤5.0,46.3,81.6,8.8,Elementary School,2016-2017
Whetstone ES,780,52.9,47.1,≤5.0,8.6,27.2,52.9,≤5.0,7.7,≤5.0,41.3,63.2,16.2,Elementary School,2016-2017
Wilson Wims ES,1101,52.0,48.0,≤5.0,40.4,15.3,13.0,≤5.0,23.6,7.6,8.5,10.7,≤5.0,Elementary School,2016-2017
Wood Acres ES,662,53.3,46.7,≤5.0,11.0,≤5.0,12.8,≤5.0,66.2,6.9,6.6,≤5.0,7.9,Elementary School,2016-2017
Woodfield ES,284,51.4,48.6,≤5.0,≤5.0,10.2,22.9,≤5.0,57.0,≤5.0,8.1,20.4,19.0,Elementary School,2016-2017
Woodlin ES,588,50.7,49.3,≤5.0,7.5,25.9,21.4,≤5.0,38.6,6.5,15.1,23.3,12.8,Elementary School,2016-2017
Wyngate ES,740,50.5,49.5,≤5.0,10.8,≤5.0,11.9,≤5.0,64.1,8.5,6.2,≤5.0,5.4,Elementary School,2016-2017
Argyle MS,929,57.3,42.7,≤5.0,10.1,29.9,46.0,≤5.0,11.0,≤5.0,9.9,54.3,10.1,Middle School,2016-2017
John T. Baker MS,812,48.8,51.2,≤5.0,5.9,10.3,23.2,≤5.0,54.6,5.7,≤5.0,19.8,14.8,Middle School,2016-2017
Benjamin Banneker MS,861,53.5,46.5,≤5.0,12.4,64.0,14.9,≤5.0,5.5,≤5.0,≤5.0,49.5,8.9,Middle School,2016-2017
Briggs Chaney MS,889,52.4,47.6,≤5.0,14.2,51.0,20.6,≤5.0,9.7,≤5.0,5.1,45.6,12.5,Middle School,2016-2017
Cabin John MS,969,50.9,49.1,≤5.0,28.1,12.5,6.8,≤5.0,46.7,5.8,≤5.0,7.9,14.7,Middle School,2016-2017
Roberto W. Clemente MS,1318,52.7,47.3,≤5.0,26.4,23.4,28.2,≤5.0,16.8,≤5.0,≤5.0,31.3,10.2,Middle School,2016-2017
Eastern MS,957,46.4,53.6,≤5.0,12.9,17.3,41.4,≤5.0,25.0,≤5.0,17.6,44.3,10.1,Middle School,2016-2017
William H. Farquhar MS,668,49.0,51.0,≤5.0,12.4,20.8,13.5,≤5.0,47.9,5.4,≤5.0,13.8,12.9,Middle School,2016-2017
Forest Oak MS,789,50.8,49.2,≤5.0,7.9,24.6,50.2,≤5.0,13.1,≤5.0,15.5,57.3,12.7,Middle School,2016-2017
Robert Frost MS,1107,49.5,50.5,≤5.0,36.9,5.4,7.8,≤5.0,44.5,5.2,≤5.0,6.1,5.4,Middle School,2016-2017
Gaithersburg MS,797,55.2,44.8,≤5.0,7.5,21.0,46.3,≤5.0,21.1,≤5.0,14.2,47.4,18.1,Middle School,2016-2017
Herbert Hoover MS,1017,51.1,48.9,≤5.0,33.6,7.4,5.3,≤5.0,48.6,≤5.0,≤5.0,≤5.0,8.9,Middle School,2016-2017
Francis Scott Key MS,923,52.9,47.1,≤5.0,10.6,43.9,39.3,≤5.0,≤5.0,≤5.0,11.1,74.3,10.0,Middle School,2016-2017
"Dr. Martin Luther King, Jr.  MS",581,49.1,50.9,≤5.0,11.0,40.4,28.2,≤5.0,15.1,≤5.0,8.4,48.9,11.0,Middle School,2016-2017
Kingsview MS,1041,49.4,50.6,≤5.0,26.3,24.5,13.9,≤5.0,30.2,≤5.0,≤5.0,19.4,7.3,Middle School,2016-2017
Lakelands Park MS,1067,48.4,51.6,≤5.0,16.0,14.2,20.6,≤5.0,45.1,≤5.0,≤5.0,23.3,11.2,Middle School,2016-2017
Col. E. Brooke Lee MS,730,50.8,49.2,≤5.0,8.5,25.2,57.3,≤5.0,6.3,≤5.0,17.0,64.7,13.7,Middle School,2016-2017
A. Mario Loiederman MS,919,35.7,64.3,≤5.0,6.4,19.2,60.1,≤5.0,10.9,≤5.0,19.9,58.1,11.2,Middle School,2016-2017
Montgomery Village MS,745,55.2,44.8,≤5.0,8.5,30.2,52.8,≤5.0,5.8,≤5.0,15.7,66.8,15.4,Middle School,2016-2017
Neelsville MS,915,49.9,50.1,≤5.0,8.0,34.1,47.3,≤5.0,6.9,≤5.0,17.5,59.9,9.8,Middle School,2016-2017
Newport Mill MS,593,49.4,50.6,≤5.0,8.6,15.9,48.2,≤5.0,22.1,≤5.0,12.3,46.2,18.0,Middle School,2016-2017
North Bethesda MS,1102,52.5,47.5,≤5.0,11.3,7.0,12.8,≤5.0,61.1,7.7,≤5.0,6.5,10.3,Middle School,2016-2017
Parkland MS,973,55.2,44.8,≤5.0,16.9,23.9,45.1,≤5.0,11.0,≤5.0,10.6,50.2,7.2,Middle School,2016-2017
Rosa M. Parks MS,869,51.7,48.3,≤5.0,10.2,11.9,11.5,≤5.0,61.8,≤5.0,≤5.0,10.1,8.4,Middle School,2016-2017
John Poole MS,360,44.4,55.6,≤5.0,6.9,6.1,11.4,≤5.0,72.2,≤5.0,≤5.0,11.1,8.9,Middle School,2016-2017
Thomas W. Pyle MS,1489,51.6,48.4,≤5.0,12.6,≤5.0,8.5,≤5.0,69.2,6.7,≤5.0,≤5.0,7.6,Middle School,2016-2017
Redland MS,553,47.7,52.3,≤5.0,14.8,17.7,35.3,≤5.0,28.6,≤5.0,9.4,41.2,11.2,Middle School,2016-2017
Ridgeview MS,752,52.5,47.5,≤5.0,14.8,14.8,26.1,≤5.0,38.7,5.6,6.8,28.7,7.8,Middle School,2016-2017
Rocky Hill MS,934,49.8,50.2,≤5.0,26.9,26.3,14.7,≤5.0,26.6,5.5,≤5.0,22.8,8.8,Middle School,2016-2017
Shady Grove MS,627,50.4,49.6,≤5.0,12.0,19.8,40.0,≤5.0,22.0,5.6,8.9,42.6,13.2,Middle School,2016-2017
Silver Spring International MS,1066,50.7,49.3,≤5.0,5.2,24.6,36.4,≤5.0,28.3,5.4,10.7,39.9,10.1,Middle School,2016-2017
Sligo MS,703,47.9,52.1,≤5.0,7.5,21.5,44.0,≤5.0,23.3,≤5.0,12.1,43.5,12.8,Middle School,2016-2017
Takoma Park MS,1075,52.8,47.2,≤5.0,19.2,30.0,15.5,≤5.0,30.0,5.3,7.7,27.3,7.6,Middle School,2016-2017
Tilden MS,911,54.1,45.9,≤5.0,16.7,11.2,18.7,≤5.0,46.9,6.4,9.8,11.9,16.2,Middle School,2016-2017
Hallie Wells MS,474,47.7,52.3,≤5.0,35.9,20.3,11.4,≤5.0,25.1,6.8,≤5.0,17.7,≤5.0,Middle School,2016-2017
Julius West MS,1316,52.6,47.4,≤5.0,19.2,15.7,24.8,≤5.0,33.7,6.4,9.1,24.7,8.5,Middle School,2016-2017
Westland MS,1352,52.9,47.1,≤5.0,5.3,11.6,15.2,≤5.0,62.6,≤5.0,5.8,10.8,9.7,Middle School,2016-2017
White Oak MS,772,53.5,46.5,≤5.0,10.2,32.3,46.1,≤5.0,8.8,≤5.0,14.9,60.2,8.9,Middle School,2016-2017
Earle B. Wood MS,1002,53.7,46.3,≤5.0,10.2,15.0,39.7,≤5.0,30.8,≤5.0,7.8,37.6,14.9,Middle School,2016-2017
Bethesda-Chevy Chase HS,2064,51.9,48.1,≤5.0,≤5.0,14.5,17.1,≤5.0,57.6,5.8,6.0,10.9,8.4,High School,2016-2017
Montgomery Blair HS,2952,51.0,49.0,≤5.0,15.3,24.5,33.5,≤5.0,22.3,≤5.0,14.9,36.0,6.7,High School,2016-2017
James Hubert Blake HS,1598,42.9,57.1,≤5.0,9.6,41.0,25.2,≤5.0,19.3,≤5.0,≤5.0,34.9,9.8,High School,2016-2017
Winston Churchill HS,2088,53.6,46.4,≤5.0,24.9,8.0,8.2,≤5.0,53.6,5.1,≤5.0,≤5.0,11.3,High School,2016-2017
Clarksburg HS,2114,48.8,51.2,≤5.0,17.9,27.7,28.2,≤5.0,21.6,≤5.0,6.6,27.1,9.1,High School,2016-2017
Damascus HS,1222,49.3,50.7,≤5.0,7.9,11.7,17.8,≤5.0,57.4,≤5.0,≤5.0,15.2,13.7,High School,2016-2017
Thomas Edison HS of Technology,576,70.3,29.7,≤5.0,≤5.0,18.8,62.0,≤5.0,12.7,≤5.0,23.6,47.9,26.6,High School,2016-2017
