school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
DuFief ES,310,55.8,44.2,≤5.0,28.1,12.6,11.9,≤5.0,37.4,9.7,16.8,14.2,30.0,Elementary School,2018-2019
East Silver Spring ES,511,53.0,47.0,≤5.0,≤5.0,57.7,20.2,≤5.0,15.3,≤5.0,27.6,51.3,12.3,Elementary School,2018-2019
Fairland ES,628,53.8,46.2,≤5.0,7.0,56.7,27.1,≤5.0,≤5.0,≤5.0,18.6,58.1,14.8,Elementary School,2018-2019
Fallsmead ES,562,50.7,49.3,≤5.0,32.2,11.0,7.8,≤5.0,42.7,5.5,13.5,9.3,8.9,Elementary School,2018-2019
Farmland ES,830,51.0,49.0,≤5.0,31.2,6.6,12.4,≤5.0,45.1,≤5.0,24.8,6.9,9.0,Elementary School,2018-2019
Fields Road ES,474,54.2,45.8,≤5.0,15.4,17.7,35.0,≤5.0,26.2,5.7,22.2,34.8,11.0,Elementary School,2018-2019
Flower Hill ES,456,54.8,45.2,≤5.0,10.1,28.9,48.5,≤5.0,6.8,≤5.0,37.7,55.3,12.7,Elementary School,2018-2019
Flower Valley ES,490,59.0,41.0,≤5.0,9.4,13.7,24.3,≤5.0,44.1,8.6,17.1,22.7,16.3,Elementary School,2018-2019
Forest Knolls ES,721,49.7,50.3,≤5.0,5.4,14.8,38.7,≤5.0,33.4,7.4,19.0,30.1,11.1,Elementary School,2018-2019
Fox Chapel ES,598,51.7,48.3,≤5.0,15.6,26.1,43.8,≤5.0,9.7,≤5.0,33.8,52.2,8.0,Elementary School,2018-2019
Gaithersburg ES,839,53.6,46.4,≤5.0,≤5.0,15.7,76.2,≤5.0,≤5.0,≤5.0,53.6,85.8,11.3,Elementary School,2018-2019
Galway ES,788,50.9,49.1,≤5.0,9.3,61.9,23.1,≤5.0,≤5.0,≤5.0,30.7,59.8,10.8,Elementary School,2018-2019
Garrett Park ES,798,52.9,47.1,≤5.0,15.8,11.7,25.3,≤5.0,39.0,7.9,22.1,14.7,7.6,Elementary School,2018-2019
Georgian Forest ES,655,52.1,47.9,≤5.0,≤5.0,23.2,61.4,≤5.0,9.0,≤5.0,44.7,77.1,9.6,Elementary School,2018-2019
Germantown ES,321,54.2,45.8,≤5.0,15.6,37.1,22.4,≤5.0,18.4,6.2,12.5,33.0,21.8,Elementary School,2018-2019
"William B. Gibbs, Jr. ES",652,51.4,48.6,≤5.0,25.9,28.5,19.0,≤5.0,20.2,5.8,15.2,33.4,21.0,Elementary School,2018-2019
Glen Haven ES,482,49.4,50.6,≤5.0,7.5,23.0,47.7,≤5.0,17.2,≤5.0,35.7,53.3,15.6,Elementary School,2018-2019
Glenallan ES,746,51.9,48.1,≤5.0,11.3,32.0,44.1,≤5.0,9.7,≤5.0,26.5,53.2,12.6,Elementary School,2018-2019
Goshen ES,578,53.1,46.9,≤5.0,11.9,24.6,40.1,≤5.0,18.2,≤5.0,24.2,43.8,16.8,Elementary School,2018-2019
Great Seneca Creek ES,606,52.0,48.0,≤5.0,12.0,35.1,24.1,≤5.0,21.5,6.3,18.6,41.6,11.6,Elementary School,2018-2019
Greencastle ES,700,50.1,49.9,≤5.0,7.9,66.6,21.1,≤5.0,≤5.0,≤5.0,20.6,59.7,11.7,Elementary School,2018-2019
Greenwood ES,515,51.1,48.9,≤5.0,8.5,11.5,12.6,≤5.0,59.2,8.0,6.2,10.7,6.4,Elementary School,2018-2019
Harmony Hills ES,716,51.3,48.7,≤5.0,5.7,14.1,76.1,≤5.0,≤5.0,≤5.0,55.7,79.1,9.6,Elementary School,2018-2019
Highland ES,548,53.6,46.4,≤5.0,6.4,9.9,73.4,≤5.0,6.9,≤5.0,51.6,77.6,11.3,Elementary School,2018-2019
Highland View ES,440,49.3,50.7,≤5.0,≤5.0,30.2,31.4,≤5.0,32.7,≤5.0,33.2,45.9,7.3,Elementary School,2018-2019
Jackson Road ES,726,51.8,48.2,≤5.0,8.0,53.6,33.6,≤5.0,≤5.0,≤5.0,33.2,77.1,16.1,Elementary School,2018-2019
Jones Lane ES,420,51.9,48.1,≤5.0,10.7,9.8,28.6,≤5.0,43.8,6.4,18.1,26.7,10.7,Elementary School,2018-2019
Kemp Mill ES,491,47.0,53.0,≤5.0,≤5.0,15.1,77.6,≤5.0,≤5.0,≤5.0,51.7,85.7,11.2,Elementary School,2018-2019
Kensington Parkwood ES,656,50.8,49.2,≤5.0,7.6,5.5,12.7,≤5.0,64.9,9.1,8.1,8.2,8.1,Elementary School,2018-2019
Lake Seneca ES,516,52.5,47.5,≤5.0,≤5.0,38.0,41.5,≤5.0,12.2,≤5.0,28.1,52.5,22.7,Elementary School,2018-2019
Lakewood ES,476,50.4,49.6,≤5.0,46.0,13.0,8.8,≤5.0,25.2,6.1,12.4,7.1,11.8,Elementary School,2018-2019
Laytonsville ES,384,53.6,46.4,≤5.0,7.8,17.7,22.1,≤5.0,43.8,8.3,10.4,16.4,16.4,Elementary School,2018-2019
JoAnn Leleck ES,828,50.8,49.2,≤5.0,≤5.0,12.3,83.1,≤5.0,≤5.0,≤5.0,74.6,89.4,6.3,Elementary School,2018-2019
Little Bennett ES,614,52.8,47.2,≤5.0,29.5,22.1,16.0,≤5.0,24.3,7.7,12.7,16.8,17.8,Elementary School,2018-2019
Luxmanor ES,576,51.7,48.3,≤5.0,22.9,14.9,21.4,≤5.0,35.8,≤5.0,28.1,16.3,15.1,Elementary School,2018-2019
Thurgood Marshall ES,667,50.2,49.8,≤5.0,17.5,18.9,28.3,≤5.0,30.4,≤5.0,18.1,29.7,16.0,Elementary School,2018-2019
Maryvale ES,617,47.2,52.8,≤5.0,11.0,25.1,33.2,≤5.0,22.7,7.6,26.9,44.4,12.8,Elementary School,2018-2019
Spark M. Matsunaga ES,728,50.7,49.3,≤5.0,40.2,19.1,15.5,≤5.0,18.8,5.8,11.1,19.6,6.2,Elementary School,2018-2019
S. Christa McAuliffe ES,567,49.9,50.1,≤5.0,7.2,36.0,32.8,≤5.0,16.6,6.9,24.5,50.1,9.9,Elementary School,2018-2019
Ronald McNair ES,847,51.8,48.2,≤5.0,28.3,26.0,17.1,≤5.0,19.8,8.4,17.0,25.6,7.4,Elementary School,2018-2019
Meadow Hall ES,431,54.8,45.2,≤5.0,8.1,11.8,54.5,≤5.0,18.1,7.0,32.0,55.0,18.3,Elementary School,2018-2019
Mill Creek Towne ES,464,50.0,50.0,≤5.0,11.4,17.5,45.0,≤5.0,19.0,6.7,27.4,43.1,16.6,Elementary School,2018-2019
Monocacy ES,147,53.1,46.9,≤5.0,≤5.0,≤5.0,10.2,≤5.0,72.8,8.2,6.8,15.0,11.6,Elementary School,2018-2019
Montgomery Knolls ES,489,51.3,48.7,≤5.0,≤5.0,26.6,46.6,≤5.0,17.2,5.9,42.1,59.3,28.2,Elementary School,2018-2019
New Hampshire Estates ES,442,49.5,50.5,≤5.0,≤5.0,17.0,75.3,≤5.0,≤5.0,≤5.0,66.5,88.0,10.4,Elementary School,2018-2019
Roscoe R. Nix ES,506,53.4,46.6,≤5.0,9.1,36.4,48.0,≤5.0,≤5.0,≤5.0,55.3,71.3,11.7,Elementary School,2018-2019
North Chevy Chase ES,261,54.4,45.6,≤5.0,6.5,19.9,12.6,≤5.0,55.2,5.7,9.2,19.2,7.3,Elementary School,2018-2019
Oak View ES,430,55.3,44.7,≤5.0,≤5.0,15.1,65.3,≤5.0,14.0,≤5.0,37.9,71.9,8.6,Elementary School,2018-2019
Oakland Terrace ES,490,48.8,51.2,≤5.0,5.5,13.7,33.5,≤5.0,36.5,10.6,12.4,29.4,20.2,Elementary School,2018-2019
Olney ES,692,49.6,50.4,≤5.0,13.4,16.2,14.2,≤5.0,49.7,6.4,11.4,17.8,10.1,Elementary School,2018-2019
William Tyler Page ES,535,49.2,50.8,≤5.0,12.0,48.6,22.2,≤5.0,12.1,≤5.0,17.2,40.9,6.5,Elementary School,2018-2019
Pine Crest ES,435,54.9,45.1,≤5.0,5.7,24.4,41.4,≤5.0,24.8,≤5.0,31.7,47.4,9.9,Elementary School,2018-2019
Piney Branch ES,677,48.3,51.7,≤5.0,≤5.0,33.8,16.8,≤5.0,39.4,6.9,19.2,27.2,8.6,Elementary School,2018-2019
Poolesville ES,480,49.0,51.0,≤5.0,7.1,6.3,12.7,≤5.0,66.0,7.5,6.3,10.8,6.7,Elementary School,2018-2019
Potomac ES,362,48.6,51.4,≤5.0,37.3,6.6,8.6,≤5.0,39.8,7.7,6.6,≤5.0,≤5.0,Elementary School,2018-2019
Judith A. Resnik ES,640,50.8,49.2,≤5.0,11.9,29.7,39.1,≤5.0,14.1,≤5.0,29.8,52.2,8.8,Elementary School,2018-2019
Dr. Sally K. Ride ES,519,52.0,48.0,≤5.0,15.0,39.9,33.1,≤5.0,7.5,≤5.0,24.3,52.0,21.8,Elementary School,2018-2019
Ritchie Park ES,432,45.8,54.2,≤5.0,17.4,16.4,13.4,≤5.0,45.4,7.2,9.7,12.7,9.7,Elementary School,2018-2019
Rock Creek Forest ES,739,49.1,50.9,≤5.0,8.0,17.6,32.2,≤5.0,36.0,5.8,17.1,22.1,10.7,Elementary School,2018-2019
Rock Creek Valley ES,441,54.6,45.4,≤5.0,15.4,10.2,37.9,≤5.0,28.8,7.5,22.0,25.4,22.9,Elementary School,2018-2019
Rock View ES,608,57.9,42.1,≤5.0,11.2,15.6,44.4,≤5.0,23.2,≤5.0,28.9,43.9,21.7,Elementary School,2018-2019
Lois P. Rockwell ES,474,54.6,45.4,≤5.0,11.0,10.5,25.7,≤5.0,45.4,6.8,9.3,17.9,20.9,Elementary School,2018-2019
Rolling Terrace ES,798,48.0,52.0,≤5.0,≤5.0,16.5,71.2,≤5.0,7.9,≤5.0,57.6,75.7,7.8,Elementary School,2018-2019
Rosemary Hills ES,559,51.5,48.5,≤5.0,≤5.0,24.9,13.2,≤5.0,51.5,5.5,15.9,26.7,12.5,Elementary School,2018-2019
Rosemont ES,628,54.5,45.5,≤5.0,9.6,27.5,47.5,≤5.0,9.2,6.2,44.3,53.7,11.6,Elementary School,2018-2019
Bayard Rustin ES,600,50.7,49.3,≤5.0,30.8,11.7,23.8,≤5.0,25.5,7.8,20.5,24.7,≤5.0,Elementary School,2018-2019
Sequoyah ES,389,52.7,47.3,≤5.0,10.8,11.3,50.4,≤5.0,21.3,5.9,38.6,48.8,13.6,Elementary School,2018-2019
Seven Locks ES,429,45.9,54.1,≤5.0,24.2,8.2,12.4,≤5.0,48.5,6.8,5.8,≤5.0,8.4,Elementary School,2018-2019
Sherwood ES,527,56.0,44.0,≤5.0,9.7,21.3,17.3,≤5.0,42.1,9.3,10.8,15.6,20.5,Elementary School,2018-2019
Sargent Shriver ES,775,50.7,49.3,≤5.0,6.2,10.1,78.3,≤5.0,≤5.0,≤5.0,51.9,80.0,8.4,Elementary School,2018-2019
Flora M. Singer ES,669,55.5,44.5,≤5.0,7.0,12.1,38.6,≤5.0,35.6,6.4,30.8,39.5,17.8,Elementary School,2018-2019
Sligo Creek ES,670,49.6,50.4,≤5.0,≤5.0,23.1,12.2,≤5.0,51.2,8.4,9.9,9.6,9.1,Elementary School,2018-2019
Somerset ES,587,50.9,49.1,≤5.0,11.2,6.3,13.3,≤5.0,60.6,7.8,18.6,7.0,7.2,Elementary School,2018-2019
South Lake ES,831,52.3,47.7,≤5.0,≤5.0,26.1,64.0,≤5.0,≤5.0,≤5.0,57.4,81.8,6.0,Elementary School,2018-2019
Stedwick ES,583,49.9,50.1,≤5.0,5.8,29.8,46.0,≤5.0,11.8,6.0,38.9,57.8,13.0,Elementary School,2018-2019
Stone Mill ES,613,51.1,48.9,≤5.0,50.9,11.9,6.5,≤5.0,25.1,5.4,12.4,9.1,15.7,Elementary School,2018-2019
Stonegate ES,502,52.0,48.0,≤5.0,13.9,33.1,24.1,≤5.0,18.3,10.4,14.7,25.5,15.7,Elementary School,2018-2019
Strathmore ES,448,54.9,45.1,≤5.0,5.4,38.4,45.1,≤5.0,7.1,≤5.0,35.7,60.9,11.4,Elementary School,2018-2019
Strawberry Knoll ES,640,52.5,47.5,≤5.0,12.2,25.2,43.4,≤5.0,12.2,6.6,22.0,41.6,22.0,Elementary School,2018-2019
Summit Hall ES,672,55.4,44.6,≤5.0,≤5.0,20.1,72.2,≤5.0,≤5.0,≤5.0,57.6,79.6,9.4,Elementary School,2018-2019
Takoma Park ES,641,54.1,45.9,≤5.0,≤5.0,30.4,17.0,≤5.0,41.5,7.0,21.5,28.1,11.2,Elementary School,2018-2019
Travilah ES,358,45.8,54.2,≤5.0,45.8,7.0,8.4,≤5.0,35.2,≤5.0,7.8,6.7,10.6,Elementary School,2018-2019
Twinbrook ES,582,50.9,49.1,≤5.0,12.5,11.0,60.3,≤5.0,11.7,≤5.0,52.9,69.4,7.2,Elementary School,2018-2019
Viers Mill ES,604,48.7,51.3,≤5.0,9.1,11.9,61.4,≤5.0,13.9,≤5.0,41.7,58.4,20.9,Elementary School,2018-2019
Washington Grove ES,488,52.0,48.0,≤5.0,6.1,24.0,57.6,≤5.0,10.0,≤5.0,51.2,72.3,21.3,Elementary School,2018-2019
Waters Landing ES,667,49.8,50.2,≤5.0,≤5.0,39.6,37.0,≤5.0,12.4,5.7,26.5,53.2,11.5,Elementary School,2018-2019
Watkins Mill ES,700,56.3,43.7,≤5.0,6.7,29.7,54.6,≤5.0,≤5.0,≤5.0,52.7,70.4,16.3,Elementary School,2018-2019
Wayside ES,533,53.1,46.9,≤5.0,45.6,7.3,5.4,≤5.0,34.9,6.8,9.8,≤5.0,9.2,Elementary School,2018-2019
Weller Road ES,714,48.6,51.4,≤5.0,6.6,7.1,79.8,≤5.0,≤5.0,≤5.0,55.6,78.3,12.6,Elementary School,2018-2019
Westbrook ES,348,52.3,47.7,≤5.0,5.2,≤5.0,12.4,≤5.0,72.4,7.5,≤5.0,≤5.0,12.1,Elementary School,2018-2019
Westover ES,308,53.2,46.8,≤5.0,13.3,34.4,26.3,≤5.0,18.8,6.5,11.7,27.9,27.6,Elementary School,2018-2019
Wheaton Woods ES,522,49.8,50.2,≤5.0,6.7,28.4,59.2,≤5.0,≤5.0,≤5.0,49.0,81.8,12.8,Elementary School,2018-2019
Whetstone ES,751,49.1,50.9,≤5.0,8.4,24.8,57.9,≤5.0,6.3,≤5.0,48.3,62.2,19.7,Elementary School,2018-2019
Wilson Wims ES,1244,52.3,47.7,≤5.0,44.3,15.1,12.6,≤5.0,22.3,5.5,9.8,8.5,7.3,Elementary School,2018-2019
Wood Acres ES,660,49.4,50.6,≤5.0,9.7,≤5.0,13.6,≤5.0,66.4,6.4,7.4,≤5.0,11.1,Elementary School,2018-2019
Woodfield ES,339,51.6,48.4,≤5.0,8.6,8.6,24.2,≤5.0,51.9,6.2,6.8,20.6,28.3,Elementary School,2018-2019
Woodlin ES,577,49.7,50.3,≤5.0,7.3,24.8,20.8,≤5.0,37.4,9.2,15.4,20.5,13.9,Elementary School,2018-2019
Wyngate ES,728,51.5,48.5,≤5.0,12.0,≤5.0,11.4,≤5.0,63.2,9.3,8.5,≤5.0,5.6,Elementary School,2018-2019
Argyle MS,1008,60.9,39.1,≤5.0,8.1,26.7,54.5,≤5.0,8.9,≤5.0,15.9,59.3,8.6,Middle School,2018-2019
John T. Baker MS,850,49.8,50.2,≤5.0,7.2,12.2,26.4,≤5.0,49.9,≤5.0,≤5.0,22.9,16.2,Middle School,2018-2019
Benjamin Banneker MS,856,54.8,45.2,≤5.0,10.4,63.8,19.5,≤5.0,≤5.0,≤5.0,7.5,48.7,10.5,Middle School,2018-2019
Briggs Chaney MS,896,51.6,48.4,≤5.0,12.6,53.7,23.3,≤5.0,7.3,≤5.0,7.6,44.8,12.3,Middle School,2018-2019
Cabin John MS,1023,52.3,47.7,≤5.0,33.6,11.9,8.0,≤5.0,40.6,5.8,≤5.0,7.2,11.5,Middle School,2018-2019
Roberto W. Clemente MS,1301,51.7,48.3,≤5.0,23.7,26.1,30.7,≤5.0,13.8,5.6,5.8,35.5,11.8,Middle School,2018-2019
Eastern MS,970,47.9,52.1,≤5.0,9.3,19.8,46.7,≤5.0,20.3,≤5.0,17.7,49.8,11.6,Middle School,2018-2019
William H. Farquhar MS,705,50.1,49.9,≤5.0,14.3,25.2,17.0,≤5.0,39.3,≤5.0,≤5.0,15.7,16.3,Middle School,2018-2019
Forest Oak MS,864,52.7,47.3,≤5.0,5.9,24.5,55.1,≤5.0,11.0,≤5.0,17.7,56.5,17.5,Middle School,2018-2019
Robert Frost MS,1074,49.3,50.7,≤5.0,37.4,9.8,8.6,≤5.0,39.4,≤5.0,≤5.0,5.8,6.1,Middle School,2018-2019
Gaithersburg MS,863,54.2,45.8,≤5.0,6.7,22.0,48.4,≤5.0,17.7,≤5.0,18.5,48.2,22.8,Middle School,2018-2019
Herbert Hoover MS,1043,51.8,48.2,≤5.0,36.1,7.8,7.6,≤5.0,43.7,≤5.0,≤5.0,≤5.0,11.9,Middle School,2018-2019
Francis Scott Key MS,991,51.1,48.9,≤5.0,10.1,44.8,39.6,≤5.0,≤5.0,≤5.0,15.3,63.7,8.2,Middle School,2018-2019
"Dr. Martin Luther King, Jr. MS",648,47.7,52.3,≤5.0,12.0,37.7,31.9,≤5.0,13.4,≤5.0,9.7,43.1,13.1,Middle School,2018-2019
Kingsview MS,996,53.1,46.9,≤5.0,24.5,26.2,14.7,≤5.0,28.2,6.2,≤5.0,20.5,9.0,Middle School,2018-2019
Lakelands Park MS,1121,50.3,49.7,≤5.0,14.4,16.5,23.4,≤5.0,39.6,6.2,7.3,22.3,10.4,Middle School,2018-2019
Col. E. Brooke Lee MS,760,51.8,48.2,≤5.0,7.8,25.7,60.3,≤5.0,≤5.0,≤5.0,19.9,62.4,14.6,Middle School,2018-2019
A. Mario Loiederman MS,986,34.6,65.4,≤5.0,≤5.0,18.3,60.5,≤5.0,12.9,≤5.0,19.5,56.4,9.8,Middle School,2018-2019
Montgomery Village MS,743,55.2,44.8,≤5.0,7.9,28.5,54.2,≤5.0,6.5,≤5.0,18.4,59.9,21.9,Middle School,2018-2019
Neelsville MS,944,49.0,51.0,≤5.0,8.8,34.3,49.6,≤5.0,≤5.0,≤5.0,18.0,65.1,12.7,Middle School,2018-2019
Newport Mill MS,675,52.7,47.3,≤5.0,8.3,15.3,52.6,≤5.0,17.5,5.5,20.0,46.8,18.2,Middle School,2018-2019
North Bethesda MS,1163,48.9,51.1,≤5.0,11.8,9.5,12.0,≤5.0,58.2,8.0,≤5.0,6.5,9.5,Middle School,2018-2019
Parkland MS,1058,58.5,41.5,≤5.0,14.9,21.0,51.2,≤5.0,9.9,≤5.0,12.5,53.4,10.4,Middle School,2018-2019
Rosa M. Parks MS,826,51.9,48.1,≤5.0,9.7,12.3,13.6,≤5.0,58.1,6.3,≤5.0,11.5,12.6,Middle School,2018-2019
John Poole MS,395,51.1,48.9,≤5.0,9.4,6.3,12.2,≤5.0,66.6,5.1,≤5.0,11.9,11.4,Middle School,2018-2019
Thomas W. Pyle MS,1530,51.0,49.0,≤5.0,14.4,≤5.0,10.3,≤5.0,64.6,7.6,≤5.0,≤5.0,9.1,Middle School,2018-2019
Redland MS,608,48.4,51.6,≤5.0,12.8,20.6,40.0,≤5.0,20.6,5.6,10.9,38.8,11.3,Middle School,2018-2019
Ridgeview MS,751,55.4,44.6,≤5.0,11.7,16.4,27.8,≤5.0,39.9,≤5.0,8.9,26.9,10.9,Middle School,2018-2019
Rocky Hill MS,844,49.6,50.4,≤5.0,29.0,24.3,17.9,≤5.0,21.7,6.9,≤5.0,22.5,12.2,Middle School,2018-2019
Shady Grove MS,627,50.6,49.4,≤5.0,11.3,20.7,42.4,≤5.0,21.9,≤5.0,11.3,40.7,14.4,Middle School,2018-2019
Silver Creek MS,865,49.6,50.4,≤5.0,6.0,20.8,18.5,≤5.0,48.8,5.9,8.2,24.2,9.0,Middle School,2018-2019
Silver Spring International MS,1125,50.5,49.5,≤5.0,5.4,21.2,41.5,≤5.0,26.9,≤5.0,14.4,38.3,14.7,Middle School,2018-2019
Sligo MS,657,51.3,48.7,≤5.0,8.5,19.6,40.0,≤5.0,27.5,≤5.0,11.4,38.7,12.0,Middle School,2018-2019
Takoma Park MS,1107,55.6,44.4,≤5.0,16.6,33.6,15.4,≤5.0,28.8,5.4,7.4,25.7,7.9,Middle School,2018-2019
Tilden MS,989,52.2,47.8,≤5.0,17.5,14.4,18.5,≤5.0,44.7,≤5.0,9.8,13.1,14.7,Middle School,2018-2019
Hallie Wells MS,792,50.9,49.1,≤5.0,33.7,21.3,13.8,≤5.0,23.4,7.7,≤5.0,15.9,9.7,Middle School,2018-2019
Julius West MS,1317,51.4,48.6,≤5.0,17.5,16.4,26.3,≤5.0,33.8,5.8,9.0,24.9,11.2,Middle School,2018-2019
Westland MS,770,50.3,49.7,≤5.0,6.5,5.7,15.8,≤5.0,65.2,6.4,≤5.0,6.9,13.6,Middle School,2018-2019
White Oak MS,784,53.2,46.8,≤5.0,8.9,31.1,50.8,≤5.0,6.5,≤5.0,18.2,63.9,7.9,Middle School,2018-2019
Earle B. Wood MS,964,52.1,47.9,≤5.0,10.6,14.4,44.8,≤5.0,25.5,≤5.0,10.0,35.1,17.6,Middle School,2018-2019
Bethesda-Chevy Chase HS,2124,50.8,49.2,≤5.0,5.2,13.9,16.5,≤5.0,58.7,5.3,6.4,10.2,7.0,High School,2018-2019
Montgomery Blair HS,3196,51.8,48.2,≤5.0,14.4,23.7,33.8,≤5.0,23.7,≤5.0,17.0,33.3,7.4,High School,2018-2019
James Hubert Blake HS,1717,44.9,55.1,≤5.0,9.7,41.2,27.6,≤5.0,17.1,≤5.0,≤5.0,36.0,7.8,High School,2018-2019
Winston Churchill HS,2227,54.6,45.4,≤5.0,28.6,9.2,8.0,≤5.0,48.5,5.5,≤5.0,≤5.0,10.5,High School,2018-2019
Clarksburg HS,2338,48.8,51.2,≤5.0,20.4,28.7,26.8,≤5.0,19.6,≤5.0,8.1,27.0,7.2,High School,2018-2019
Damascus HS,1311,50.0,50.0,≤5.0,8.8,12.2,20.6,≤5.0,52.9,≤5.0,≤5.0,15.8,9.1,High School,2018-2019
