school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Arcola ES,732,48.4,51.6,≤5.0,7.4,19.0,68.6,≤5.0,≤5.0,≤5.0,47.1,75.1,9.6,Elementary School,2018-2019
Ashburton ES,891,49.6,50.4,≤5.0,16.8,15.2,17.6,≤5.0,40.3,9.7,15.5,11.4,8.9,Elementary School,2018-2019
Bannockburn ES,440,53.0,47.0,≤5.0,12.7,≤5.0,11.6,≤5.0,63.2,8.2,8.6,≤5.0,6.6,Elementary School,2018-2019
Lucy V. Barnsley ES,721,57.0,43.0,≤5.0,14.0,9.8,33.8,≤5.0,35.1,6.9,13.7,26.9,15.1,Elementary School,2018-2019
Beall ES,572,54.5,45.5,≤5.0,15.7,16.1,22.4,≤5.0,39.2,6.5,17.5,30.1,16.8,Elementary School,2018-2019
Bel Pre ES,586,53.8,46.2,≤5.0,≤5.0,34.3,51.7,≤5.0,6.5,≤5.0,46.2,68.6,11.1,Elementary School,2018-2019
Bells Mill ES,619,51.4,48.6,≤5.0,31.0,10.7,8.7,≤5.0,43.6,6.0,7.8,8.6,9.2,Elementary School,2018-2019
Belmont ES,333,49.8,50.2,≤5.0,8.1,6.0,11.1,≤5.0,67.9,6.9,≤5.0,5.4,9.0,Elementary School,2018-2019
Bethesda ES,650,55.4,44.6,≤5.0,17.8,6.9,14.3,≤5.0,53.8,7.1,16.8,7.1,9.7,Elementary School,2018-2019
Beverly Farms ES,585,53.5,46.5,≤5.0,30.6,7.5,10.3,≤5.0,44.3,7.2,9.7,6.8,8.2,Elementary School,2018-2019
Bradley Hills ES,590,51.0,49.0,≤5.0,15.4,≤5.0,5.9,≤5.0,66.6,10.3,5.8,≤5.0,≤5.0,Elementary School,2018-2019
Brooke Grove ES,433,53.8,46.2,≤5.0,13.4,24.2,14.5,≤5.0,41.3,6.2,12.2,24.9,20.3,Elementary School,2018-2019
Brookhaven ES,456,54.4,45.6,≤5.0,7.7,32.5,48.7,≤5.0,8.3,≤5.0,41.9,64.9,24.1,Elementary School,2018-2019
Brown Station ES,585,54.4,45.6,≤5.0,12.8,26.3,46.8,≤5.0,10.3,≤5.0,33.8,60.3,21.9,Elementary School,2018-2019
Burning Tree ES,473,55.4,44.6,≤5.0,18.4,8.0,9.5,≤5.0,56.9,7.0,13.7,5.3,16.7,Elementary School,2018-2019
Burnt Mills ES,607,49.9,50.1,≤5.0,≤5.0,58.5,26.4,≤5.0,6.1,≤5.0,22.7,62.3,7.1,Elementary School,2018-2019
Burtonsville ES,627,52.5,47.5,≤5.0,11.3,59.8,19.9,≤5.0,5.6,≤5.0,14.0,42.6,5.4,Elementary School,2018-2019
Candlewood ES,367,53.1,46.9,≤5.0,17.7,14.4,16.9,≤5.0,44.1,6.0,18.8,21.5,8.4,Elementary School,2018-2019
Cannon Road ES,412,52.9,47.1,≤5.0,10.7,35.7,46.6,≤5.0,≤5.0,≤5.0,13.3,58.5,12.6,Elementary School,2018-2019
Carderock Springs ES,361,52.4,47.6,≤5.0,15.5,≤5.0,9.4,≤5.0,62.6,8.0,8.3,≤5.0,15.2,Elementary School,2018-2019
Rachel Carson ES,973,51.0,49.0,≤5.0,17.3,7.2,20.2,≤5.0,47.5,7.8,14.3,19.0,10.9,Elementary School,2018-2019
Cashell ES,363,52.3,47.7,≤5.0,7.7,17.4,24.0,≤5.0,41.0,9.9,13.5,26.4,15.7,Elementary School,2018-2019
Cedar Grove ES,613,49.3,50.7,≤5.0,41.8,14.7,11.1,≤5.0,27.7,≤5.0,9.5,10.0,10.4,Elementary School,2018-2019
Chevy Chase ES,452,52.0,48.0,≤5.0,8.4,18.6,11.9,≤5.0,53.1,8.0,9.1,19.0,≤5.0,Elementary School,2018-2019
Clarksburg ES,529,51.6,48.4,≤5.0,37.6,23.1,14.0,≤5.0,17.2,7.8,18.7,15.3,5.9,Elementary School,2018-2019
Clearspring ES,618,54.5,45.5,≤5.0,12.5,19.3,22.2,≤5.0,37.9,8.1,11.2,32.0,14.9,Elementary School,2018-2019
Clopper Mill ES,562,52.3,47.7,≤5.0,9.4,35.1,45.7,≤5.0,5.9,≤5.0,30.4,65.7,14.4,Elementary School,2018-2019
Cloverly ES,533,53.7,46.3,≤5.0,14.8,27.4,25.0,≤5.0,26.5,6.0,17.3,20.8,25.7,Elementary School,2018-2019
Cold Spring ES,330,50.9,49.1,≤5.0,42.4,≤5.0,6.1,≤5.0,37.6,10.0,≤5.0,≤5.0,7.6,Elementary School,2018-2019
College Gardens ES,695,53.8,46.2,≤5.0,21.0,19.0,19.6,≤5.0,32.7,7.6,14.4,16.1,10.4,Elementary School,2018-2019
Cresthaven ES,557,53.5,46.5,≤5.0,8.3,37.0,48.3,≤5.0,≤5.0,≤5.0,38.4,68.4,12.2,Elementary School,2018-2019
Capt. James E. Daly ES,585,51.8,48.2,≤5.0,6.5,36.6,49.6,≤5.0,≤5.0,≤5.0,44.1,75.4,8.9,Elementary School,2018-2019
Damascus ES,341,53.4,46.6,≤5.0,≤5.0,5.9,32.8,≤5.0,49.3,7.9,20.5,24.6,16.4,Elementary School,2018-2019
Darnestown ES,310,51.3,48.7,≤5.0,12.3,11.3,5.5,≤5.0,65.5,5.5,5.5,5.2,9.4,Elementary School,2018-2019
Diamond ES,770,50.0,50.0,≤5.0,47.9,10.1,11.3,≤5.0,24.8,5.7,21.9,7.1,10.5,Elementary School,2018-2019
Dr. Charles R. Drew ES,469,50.5,49.5,≤5.0,12.4,43.5,25.2,≤5.0,12.8,5.8,23.0,50.7,13.9,Elementary School,2018-2019
