school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Arcola ES,748,50.7,49.3,≤5.0,5.6,19.8,69.3,≤5.0,≤5.0,≤5.0,49.3,74.7,10.7,Elementary School,2019-2020
Ashburton ES,922,50.1,49.9,≤5.0,17.4,16.6,17.4,≤5.0,39.3,8.8,15.3,11.1,7.8,Elementary School,2019-2020
Bannockburn ES,461,51.4,48.6,≤5.0,11.3,≤5.0,10.8,≤5.0,66.6,6.5,5.4,≤5.0,7.8,Elementary School,2019-2020
Lucy V. Barnsley ES,737,54.8,45.2,≤5.0,11.9,12.6,34.5,≤5.0,33.0,7.7,15.1,30.1,13.8,Elementary School,2019-2020
Beall ES,531,53.3,46.7,≤5.0,13.4,15.3,25.0,≤5.0,38.2,7.7,17.1,30.1,12.6,Elementary School,2019-2020
Bel Pre ES,612,53.1,46.9,≤5.0,5.2,30.2,54.7,≤5.0,5.7,≤5.0,47.9,64.1,10.0,Elementary School,2019-2020
Bells Mill ES,642,50.9,49.1,≤5.0,28.2,12.5,9.0,≤5.0,43.0,7.0,8.6,10.0,7.3,Elementary School,2019-2020
Belmont ES,348,50.3,49.7,≤5.0,6.9,9.2,11.2,≤5.0,66.4,6.3,≤5.0,6.0,7.5,Elementary School,2019-2020
Bethesda ES,665,51.4,48.6,≤5.0,18.5,7.7,14.9,≤5.0,51.0,8.0,17.4,8.6,9.6,Elementary School,2019-2020
Beverly Farms ES,585,53.7,46.3,≤5.0,32.5,7.7,8.9,≤5.0,44.6,6.2,9.1,5.8,8.7,Elementary School,2019-2020
Bradley Hills ES,566,53.2,46.8,≤5.0,15.2,≤5.0,6.5,≤5.0,65.7,10.2,6.7,≤5.0,5.7,Elementary School,2019-2020
Brooke Grove ES,464,57.1,42.9,≤5.0,12.7,28.9,14.0,≤5.0,37.7,6.5,12.9,25.0,20.3,Elementary School,2019-2020
Brookhaven ES,467,49.9,50.1,≤5.0,8.8,28.3,52.0,≤5.0,7.9,≤5.0,38.1,64.9,20.3,Elementary School,2019-2020
Brown Station ES,636,51.1,48.9,≤5.0,12.1,27.0,48.7,≤5.0,8.3,≤5.0,36.6,62.9,16.2,Elementary School,2019-2020
Burning Tree ES,469,54.4,45.6,≤5.0,20.7,7.7,9.8,≤5.0,56.1,5.5,14.3,5.3,17.5,Elementary School,2019-2020
Burnt Mills ES,578,49.8,50.2,≤5.0,≤5.0,58.1,25.8,≤5.0,6.6,≤5.0,19.9,63.3,8.1,Elementary School,2019-2020
Burtonsville ES,604,50.5,49.5,≤5.0,11.6,59.3,18.2,≤5.0,6.6,≤5.0,12.3,43.2,5.6,Elementary School,2019-2020
Candlewood ES,387,51.7,48.3,≤5.0,17.3,15.2,15.5,≤5.0,46.0,5.7,16.0,18.1,8.0,Elementary School,2019-2020
Cannon Road ES,412,53.4,46.6,≤5.0,9.2,34.2,47.3,≤5.0,5.1,≤5.0,16.0,59.7,10.9,Elementary School,2019-2020
Carderock Springs ES,366,53.6,46.4,≤5.0,16.4,≤5.0,11.2,≤5.0,60.7,7.9,7.1,≤5.0,13.4,Elementary School,2019-2020
Rachel Carson ES,893,52.6,47.4,≤5.0,17.7,6.7,21.9,≤5.0,46.4,7.3,17.0,20.3,10.5,Elementary School,2019-2020
Cashell ES,340,49.1,50.9,≤5.0,6.5,17.6,23.2,≤5.0,40.3,12.4,10.6,25.6,15.6,Elementary School,2019-2020
Cedar Grove ES,418,51.4,48.6,≤5.0,42.8,15.6,11.2,≤5.0,25.1,≤5.0,8.9,8.4,14.8,Elementary School,2019-2020
Chevy Chase ES,466,50.9,49.1,≤5.0,8.6,17.6,10.1,≤5.0,55.6,8.2,7.9,17.2,≤5.0,Elementary School,2019-2020
Clarksburg ES,623,54.3,45.7,≤5.0,35.0,24.7,14.8,≤5.0,16.7,8.7,19.3,15.9,6.6,Elementary School,2019-2020
Clearspring ES,588,52.7,47.3,≤5.0,12.1,20.6,24.7,≤5.0,35.4,6.6,11.1,31.3,15.6,Elementary School,2019-2020
Clopper Mill ES,539,54.7,45.3,≤5.0,8.3,35.3,47.1,≤5.0,5.9,≤5.0,29.5,63.8,10.6,Elementary School,2019-2020
Cloverly ES,511,54.4,45.6,≤5.0,15.1,26.2,26.2,≤5.0,25.0,7.2,17.6,20.9,24.1,Elementary School,2019-2020
Cold Spring ES,332,53.3,46.7,≤5.0,41.3,≤5.0,5.1,≤5.0,41.3,8.7,≤5.0,≤5.0,6.3,Elementary School,2019-2020
College Gardens ES,634,53.2,46.8,≤5.0,19.4,21.6,19.4,≤5.0,31.1,8.4,15.9,19.7,10.6,Elementary School,2019-2020
Cresthaven ES,505,57.0,43.0,≤5.0,6.7,36.8,51.5,≤5.0,≤5.0,≤5.0,46.9,67.9,11.7,Elementary School,2019-2020
Capt. James E. Daly ES,618,51.0,49.0,≤5.0,6.6,33.5,52.4,≤5.0,≤5.0,≤5.0,44.8,74.1,9.1,Elementary School,2019-2020
Damascus ES,362,53.9,46.1,≤5.0,≤5.0,6.9,35.6,≤5.0,46.7,5.8,20.2,28.2,21.0,Elementary School,2019-2020
Darnestown ES,323,50.8,49.2,≤5.0,12.7,7.7,7.7,≤5.0,66.9,≤5.0,6.2,5.3,15.2,Elementary School,2019-2020
Diamond ES,791,52.2,47.8,≤5.0,49.9,8.2,10.2,≤5.0,25.8,5.8,21.2,7.3,12.4,Elementary School,2019-2020
Dr. Charles R. Drew ES,498,52.8,47.2,≤5.0,12.7,47.4,24.1,≤5.0,11.4,≤5.0,22.9,50.2,13.1,Elementary School,2019-2020
