school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
DuFief ES,316,55.7,44.3,≤5.0,31.6,14.6,13.0,≤5.0,31.0,9.5,16.8,13.3,32.3,Elementary School,2019-2020
East Silver Spring ES,497,52.9,47.1,≤5.0,≤5.0,53.5,21.9,≤5.0,17.5,≤5.0,29.4,50.9,14.5,Elementary School,2019-2020
Fairland ES,592,52.9,47.1,≤5.0,6.3,59.0,25.5,≤5.0,≤5.0,≤5.0,18.6,61.7,16.0,Elementary School,2019-2020
Fallsmead ES,564,49.1,50.9,≤5.0,34.9,10.5,9.6,≤5.0,39.2,5.3,12.6,7.8,8.9,Elementary School,2019-2020
Farmland ES,856,52.1,47.9,≤5.0,30.4,7.7,11.0,≤5.0,47.2,≤5.0,22.9,6.7,10.2,Elementary School,2019-2020
Fields Road ES,487,53.4,46.6,≤5.0,13.3,18.9,34.7,≤5.0,26.9,6.2,21.4,37.6,13.3,Elementary School,2019-2020
Flower Hill ES,457,53.0,47.0,≤5.0,11.4,27.4,48.4,≤5.0,6.8,6.1,38.3,58.2,13.1,Elementary School,2019-2020
Flower Valley ES,499,57.3,42.7,≤5.0,7.0,17.0,26.9,≤5.0,40.5,8.4,18.0,25.3,17.4,Elementary School,2019-2020
Forest Knolls ES,755,50.1,49.9,≤5.0,5.2,14.8,38.7,≤5.0,32.7,8.1,17.1,30.2,11.5,Elementary School,2019-2020
Fox Chapel ES,611,50.7,49.3,≤5.0,14.4,25.4,45.5,≤5.0,10.0,≤5.0,32.7,51.9,9.0,Elementary School,2019-2020
Gaithersburg ES,864,50.9,49.1,≤5.0,≤5.0,14.7,79.1,≤5.0,≤5.0,≤5.0,50.0,85.1,11.3,Elementary School,2019-2020
Galway ES,763,50.6,49.4,≤5.0,8.4,59.4,26.3,≤5.0,≤5.0,≤5.0,30.1,58.3,12.6,Elementary School,2019-2020
Garrett Park ES,802,52.6,47.4,≤5.0,16.5,12.2,24.1,≤5.0,38.7,8.1,21.7,15.2,7.1,Elementary School,2019-2020
Georgian Forest ES,625,53.9,46.1,≤5.0,≤5.0,24.6,64.3,≤5.0,6.4,≤5.0,49.0,76.0,10.1,Elementary School,2019-2020
Germantown ES,324,53.4,46.6,≤5.0,14.5,36.1,23.8,≤5.0,18.2,6.8,13.6,34.6,21.6,Elementary School,2019-2020
"William B. Gibbs, Jr. ES",621,55.4,44.6,≤5.0,25.3,29.6,20.8,≤5.0,17.6,6.4,15.6,32.2,17.1,Elementary School,2019-2020
Glen Haven ES,510,47.3,52.7,≤5.0,6.7,22.4,50.2,≤5.0,15.5,≤5.0,35.5,55.9,14.5,Elementary School,2019-2020
Glenallan ES,744,53.5,46.5,≤5.0,11.6,30.6,45.2,≤5.0,9.5,≤5.0,27.4,57.4,10.8,Elementary School,2019-2020
Goshen ES,571,52.9,47.1,≤5.0,12.1,21.9,42.9,≤5.0,18.9,≤5.0,23.1,45.4,18.7,Elementary School,2019-2020
Great Seneca Creek ES,594,51.7,48.3,≤5.0,11.8,34.8,25.4,≤5.0,20.2,6.7,19.0,38.0,10.9,Elementary School,2019-2020
Greencastle ES,721,51.9,48.1,≤5.0,8.0,68.8,19.3,≤5.0,≤5.0,≤5.0,17.9,67.7,13.6,Elementary School,2019-2020
Greenwood ES,521,52.4,47.6,≤5.0,8.3,10.0,12.1,≤5.0,61.8,7.7,5.8,10.0,6.3,Elementary School,2019-2020
Harmony Hills ES,745,49.0,51.0,≤5.0,≤5.0,14.6,76.9,≤5.0,≤5.0,≤5.0,56.0,81.3,7.4,Elementary School,2019-2020
Highland ES,555,55.5,44.5,≤5.0,5.8,8.6,74.4,≤5.0,8.1,≤5.0,49.2,77.8,10.5,Elementary School,2019-2020
Highland View ES,434,50.0,50.0,≤5.0,≤5.0,32.3,29.5,≤5.0,32.9,≤5.0,32.9,43.3,8.5,Elementary School,2019-2020
Jackson Road ES,732,52.7,47.3,≤5.0,7.9,51.6,34.8,≤5.0,≤5.0,≤5.0,33.5,74.5,15.2,Elementary School,2019-2020
Jones Lane ES,442,51.1,48.9,≤5.0,7.7,9.0,32.4,≤5.0,43.7,6.8,22.6,26.9,≤5.0,Elementary School,2019-2020
Kemp Mill ES,486,47.3,52.7,≤5.0,≤5.0,11.9,81.5,≤5.0,≤5.0,≤5.0,56.2,88.7,7.8,Elementary School,2019-2020
Kensington Parkwood ES,642,51.2,48.8,≤5.0,9.5,6.2,12.6,≤5.0,61.7,10.0,6.1,6.7,8.6,Elementary School,2019-2020
Lake Seneca ES,510,53.7,46.3,≤5.0,≤5.0,34.7,42.9,≤5.0,11.6,5.5,28.6,54.1,21.4,Elementary School,2019-2020
Lakewood ES,460,51.1,48.9,≤5.0,46.3,12.2,10.4,≤5.0,23.0,7.4,13.0,7.2,12.8,Elementary School,2019-2020
Laytonsville ES,392,51.8,48.2,≤5.0,7.7,16.3,24.2,≤5.0,43.4,8.2,9.7,15.1,16.6,Elementary School,2019-2020
JoAnn Leleck ES,874,52.7,47.3,≤5.0,≤5.0,11.6,84.6,≤5.0,≤5.0,≤5.0,72.4,88.6,6.6,Elementary School,2019-2020
Little Bennett ES,636,52.8,47.2,≤5.0,25.8,23.0,18.4,≤5.0,25.2,7.2,12.3,15.9,19.8,Elementary School,2019-2020
Luxmanor ES,678,51.6,48.4,≤5.0,23.2,15.0,23.6,≤5.0,32.4,5.8,29.5,16.1,14.3,Elementary School,2019-2020
Thurgood Marshall ES,621,52.3,47.7,≤5.0,14.7,18.4,30.6,≤5.0,32.2,≤5.0,19.0,33.0,15.8,Elementary School,2019-2020
Maryvale ES,625,48.8,51.2,≤5.0,10.6,27.0,31.8,≤5.0,22.9,7.4,24.3,43.5,12.6,Elementary School,2019-2020
Spark M. Matsunaga ES,710,51.4,48.6,≤5.0,38.7,19.4,16.1,≤5.0,19.4,5.9,9.6,20.3,9.6,Elementary School,2019-2020
S. Christa McAuliffe ES,554,53.2,46.8,≤5.0,6.9,37.7,33.6,≤5.0,14.3,6.7,28.0,52.2,11.0,Elementary School,2019-2020
Ronald McNair ES,828,52.5,47.5,≤5.0,28.1,26.9,18.1,≤5.0,19.9,6.5,17.3,24.6,9.1,Elementary School,2019-2020
Meadow Hall ES,407,51.1,48.9,≤5.0,8.4,9.8,58.7,≤5.0,18.2,≤5.0,34.6,52.6,18.2,Elementary School,2019-2020
Mill Creek Towne ES,506,54.9,45.1,≤5.0,13.0,19.8,40.7,≤5.0,18.2,7.7,27.1,36.2,16.2,Elementary School,2019-2020
Monocacy ES,151,53.0,47.0,≤5.0,≤5.0,≤5.0,13.9,≤5.0,70.2,9.3,5.3,14.6,13.9,Elementary School,2019-2020
Montgomery Knolls ES,469,49.0,51.0,≤5.0,≤5.0,29.2,47.5,≤5.0,14.9,≤5.0,42.9,60.6,22.4,Elementary School,2019-2020
New Hampshire Estates ES,478,53.1,46.9,≤5.0,≤5.0,16.7,74.9,≤5.0,≤5.0,≤5.0,69.0,88.9,10.9,Elementary School,2019-2020
Roscoe R. Nix ES,482,50.6,49.4,≤5.0,9.8,34.0,49.8,≤5.0,≤5.0,≤5.0,55.4,68.9,9.8,Elementary School,2019-2020
North Chevy Chase ES,259,54.1,45.9,≤5.0,7.3,21.2,11.6,≤5.0,54.8,≤5.0,8.5,18.9,6.9,Elementary School,2019-2020
Oak View ES,423,55.8,44.2,≤5.0,≤5.0,12.1,65.5,≤5.0,17.7,≤5.0,42.1,71.6,9.2,Elementary School,2019-2020
Oakland Terrace ES,531,49.7,50.3,≤5.0,≤5.0,17.1,34.8,≤5.0,34.7,8.9,17.5,31.5,18.8,Elementary School,2019-2020
Olney ES,683,50.7,49.3,≤5.0,12.9,15.4,13.8,≤5.0,50.5,7.2,11.0,16.7,10.0,Elementary School,2019-2020
William Tyler Page ES,615,49.1,50.9,≤5.0,11.9,45.4,26.0,≤5.0,12.0,≤5.0,16.6,40.8,7.5,Elementary School,2019-2020
Pine Crest ES,413,53.3,46.7,≤5.0,≤5.0,24.9,41.4,≤5.0,23.5,5.8,28.8,46.0,12.1,Elementary School,2019-2020
Piney Branch ES,650,50.2,49.8,≤5.0,≤5.0,32.2,16.5,≤5.0,41.2,6.8,16.6,26.3,10.0,Elementary School,2019-2020
Poolesville ES,489,49.7,50.3,≤5.0,7.4,5.3,13.3,≤5.0,64.6,9.2,6.5,12.3,7.4,Elementary School,2019-2020
Potomac ES,376,50.5,49.5,≤5.0,31.9,9.0,8.5,≤5.0,41.8,8.5,5.6,≤5.0,≤5.0,Elementary School,2019-2020
Judith A. Resnik ES,602,50.5,49.5,≤5.0,10.5,29.1,41.7,≤5.0,14.0,≤5.0,31.7,54.5,10.5,Elementary School,2019-2020
Dr. Sally K. Ride ES,502,51.8,48.2,≤5.0,13.3,37.1,35.5,≤5.0,9.4,≤5.0,28.1,54.4,22.1,Elementary School,2019-2020
Ritchie Park ES,401,42.6,57.4,≤5.0,15.7,12.7,12.2,≤5.0,51.4,7.7,10.0,9.5,7.0,Elementary School,2019-2020
Rock Creek Forest ES,760,48.9,51.1,≤5.0,7.4,18.8,32.5,≤5.0,35.5,5.4,18.7,26.1,12.6,Elementary School,2019-2020
Rock Creek Valley ES,436,55.3,44.7,≤5.0,16.5,10.1,37.6,≤5.0,29.1,6.7,21.3,28.9,23.4,Elementary School,2019-2020
Rock View ES,654,56.4,43.6,≤5.0,10.6,13.0,48.2,≤5.0,22.9,≤5.0,31.8,43.1,23.1,Elementary School,2019-2020
Lois P. Rockwell ES,452,54.4,45.6,≤5.0,10.2,12.2,24.8,≤5.0,44.2,8.0,9.1,19.2,20.8,Elementary School,2019-2020
Rolling Terrace ES,775,48.9,51.1,≤5.0,≤5.0,14.1,75.0,≤5.0,7.2,≤5.0,60.1,79.1,7.7,Elementary School,2019-2020
Rosemary Hills ES,570,50.9,49.1,≤5.0,6.3,27.0,17.4,≤5.0,44.9,≤5.0,16.5,26.5,13.9,Elementary School,2019-2020
Rosemont ES,645,51.3,48.7,≤5.0,9.1,30.1,46.7,≤5.0,8.2,5.7,39.4,58.8,11.0,Elementary School,2019-2020
Bayard Rustin ES,719,50.6,49.4,≤5.0,26.4,9.7,29.1,≤5.0,25.5,8.9,22.5,29.6,12.0,Elementary School,2019-2020
Sequoyah ES,376,51.9,48.1,≤5.0,11.4,12.5,50.0,≤5.0,20.5,5.6,37.0,46.3,10.4,Elementary School,2019-2020
Seven Locks ES,425,45.6,54.4,≤5.0,26.1,8.9,10.6,≤5.0,49.2,5.2,7.1,≤5.0,8.5,Elementary School,2019-2020
Sherwood ES,524,55.5,44.5,≤5.0,10.1,20.2,17.2,≤5.0,41.6,10.1,9.4,14.7,19.5,Elementary School,2019-2020
Sargent Shriver ES,744,49.5,50.5,≤5.0,5.9,10.9,78.9,≤5.0,≤5.0,≤5.0,54.6,83.7,8.6,Elementary School,2019-2020
Flora M. Singer ES,683,55.1,44.9,≤5.0,6.6,14.3,37.3,≤5.0,33.7,7.8,31.5,41.6,19.3,Elementary School,2019-2020
Sligo Creek ES,679,52.1,47.9,≤5.0,≤5.0,25.8,10.6,≤5.0,51.4,7.7,9.3,8.2,8.2,Elementary School,2019-2020
Snowden Farm ES,644,52.8,47.2,≤5.0,48.3,19.4,10.4,≤5.0,17.4,≤5.0,9.3,12.0,≤5.0,Elementary School,2019-2020
Somerset ES,582,48.8,51.2,≤5.0,9.5,7.0,13.4,≤5.0,61.5,8.4,20.1,7.7,8.8,Elementary School,2019-2020
South Lake ES,893,55.3,44.7,≤5.0,5.5,19.7,70.8,≤5.0,≤5.0,≤5.0,60.9,85.1,7.2,Elementary School,2019-2020
Stedwick ES,537,48.0,52.0,≤5.0,6.0,27.6,50.8,≤5.0,10.4,≤5.0,40.8,60.3,13.0,Elementary School,2019-2020
Stone Mill ES,588,50.3,49.7,≤5.0,45.9,14.1,8.8,≤5.0,25.9,5.3,14.1,10.5,15.5,Elementary School,2019-2020
Stonegate ES,501,52.5,47.5,≤5.0,14.6,32.3,23.4,≤5.0,19.8,9.6,13.0,25.7,15.0,Elementary School,2019-2020
Strathmore ES,483,54.7,45.3,≤5.0,≤5.0,37.3,45.8,≤5.0,9.3,≤5.0,39.1,62.7,9.1,Elementary School,2019-2020
Strawberry Knoll ES,651,53.3,46.7,≤5.0,11.2,25.8,43.6,≤5.0,12.9,6.1,23.7,41.5,19.0,Elementary School,2019-2020
Summit Hall ES,702,53.8,46.2,≤5.0,≤5.0,17.9,74.5,≤5.0,≤5.0,≤5.0,61.3,79.8,10.8,Elementary School,2019-2020
Takoma Park ES,613,51.9,48.1,≤5.0,≤5.0,30.2,16.0,≤5.0,43.1,7.7,22.7,28.2,9.6,Elementary School,2019-2020
Travilah ES,341,51.3,48.7,≤5.0,46.6,6.5,10.3,≤5.0,32.0,≤5.0,8.8,7.6,7.9,Elementary School,2019-2020
Twinbrook ES,558,50.4,49.6,≤5.0,10.6,9.7,64.9,≤5.0,11.3,≤5.0,52.7,70.1,8.4,Elementary School,2019-2020
Viers Mill ES,578,49.3,50.7,≤5.0,8.8,9.3,68.9,≤5.0,10.4,≤5.0,45.2,67.0,22.3,Elementary School,2019-2020
Washington Grove ES,462,52.6,47.4,≤5.0,5.2,20.6,63.2,≤5.0,8.0,≤5.0,50.9,68.8,17.7,Elementary School,2019-2020
Waters Landing ES,659,50.4,49.6,≤5.0,≤5.0,40.2,37.6,≤5.0,13.7,≤5.0,26.4,51.9,15.9,Elementary School,2019-2020
Watkins Mill ES,731,56.9,43.1,≤5.0,7.1,24.8,60.6,≤5.0,≤5.0,≤5.0,55.7,71.5,16.3,Elementary School,2019-2020
Wayside ES,500,49.8,50.2,≤5.0,46.2,7.2,6.2,≤5.0,33.8,6.6,10.0,5.8,10.4,Elementary School,2019-2020
Weller Road ES,747,49.3,50.7,≤5.0,5.2,6.6,82.9,≤5.0,≤5.0,≤5.0,57.2,79.8,11.1,Elementary School,2019-2020
Westbrook ES,341,50.7,49.3,≤5.0,5.3,≤5.0,15.0,≤5.0,69.8,7.0,≤5.0,≤5.0,13.8,Elementary School,2019-2020
Westover ES,316,51.3,48.7,≤5.0,14.2,37.0,22.5,≤5.0,18.7,7.0,10.8,24.7,22.5,Elementary School,2019-2020
Wheaton Woods ES,503,53.5,46.5,≤5.0,6.4,24.5,63.6,≤5.0,≤5.0,≤5.0,55.1,81.5,12.5,Elementary School,2019-2020
Whetstone ES,742,51.1,48.9,≤5.0,8.4,25.7,56.1,≤5.0,6.5,≤5.0,43.7,70.4,16.2,Elementary School,2019-2020
Wilson Wims ES,767,52.7,47.3,≤5.0,41.2,17.1,13.6,≤5.0,23.2,≤5.0,5.6,9.1,13.8,Elementary School,2019-2020
Wood Acres ES,649,47.0,53.0,≤5.0,10.3,≤5.0,13.4,≤5.0,65.9,6.9,6.5,≤5.0,14.0,Elementary School,2019-2020
Woodfield ES,355,55.2,44.8,≤5.0,8.7,8.7,24.5,≤5.0,51.3,6.8,7.3,20.0,26.2,Elementary School,2019-2020
Woodlin ES,553,48.3,51.7,≤5.0,6.0,25.3,21.3,≤5.0,38.7,8.5,16.6,23.0,18.8,Elementary School,2019-2020
Wyngate ES,741,51.0,49.0,≤5.0,13.4,≤5.0,12.1,≤5.0,60.5,9.4,8.2,≤5.0,6.3,Elementary School,2019-2020
Argyle MS,1024,60.9,39.1,≤5.0,8.6,25.0,56.8,≤5.0,7.0,≤5.0,17.1,56.3,10.7,Middle School,2019-2020
John T. Baker MS,830,49.4,50.6,≤5.0,6.0,11.9,28.8,≤5.0,47.8,5.2,≤5.0,20.1,12.9,Middle School,2019-2020
Benjamin Banneker MS,900,55.2,44.8,≤5.0,9.8,64.8,19.7,≤5.0,≤5.0,≤5.0,8.0,49.4,14.1,Middle School,2019-2020
Briggs Chaney MS,936,52.1,47.9,≤5.0,10.5,53.8,25.2,≤5.0,6.8,≤5.0,8.0,47.6,12.0,Middle School,2019-2020
Cabin John MS,1040,52.3,47.7,≤5.0,35.1,11.5,8.1,≤5.0,39.2,6.0,≤5.0,7.3,12.9,Middle School,2019-2020
Roberto W. Clemente MS,1287,52.1,47.9,≤5.0,21.0,29.8,30.8,≤5.0,12.1,6.1,9.5,36.4,12.1,Middle School,2019-2020
Eastern MS,1010,48.8,51.2,≤5.0,7.6,18.7,50.4,≤5.0,19.3,≤5.0,22.2,50.7,10.9,Middle School,2019-2020
William H. Farquhar MS,694,51.2,48.8,≤5.0,15.9,25.5,17.4,≤5.0,36.6,≤5.0,≤5.0,14.8,16.4,Middle School,2019-2020
Forest Oak MS,950,53.3,46.7,≤5.0,5.5,24.0,57.6,≤5.0,10.0,≤5.0,20.9,57.1,13.3,Middle School,2019-2020
Robert Frost MS,1028,49.5,50.5,≤5.0,38.8,11.3,7.5,≤5.0,37.6,≤5.0,≤5.0,5.5,6.2,Middle School,2019-2020
Gaithersburg MS,877,54.4,45.6,≤5.0,7.1,20.5,51.7,≤5.0,14.9,5.7,21.3,44.7,20.8,Middle School,2019-2020
Herbert Hoover MS,1045,53.4,46.6,≤5.0,37.5,7.1,8.5,≤5.0,41.1,5.6,≤5.0,≤5.0,10.9,Middle School,2019-2020
Francis Scott Key MS,1004,50.9,49.1,≤5.0,9.0,43.5,41.8,≤5.0,≤5.0,≤5.0,15.9,56.7,8.2,Middle School,2019-2020
"Dr. Martin Luther King, Jr. MS",764,47.5,52.5,≤5.0,12.6,33.6,34.9,≤5.0,12.7,6.0,9.6,44.6,12.8,Middle School,2019-2020
Kingsview MS,983,52.4,47.6,≤5.0,28.2,27.0,15.2,≤5.0,23.6,5.8,≤5.0,23.3,9.2,Middle School,2019-2020
Lakelands Park MS,1200,50.9,49.1,≤5.0,15.1,16.6,24.8,≤5.0,36.9,6.5,9.5,21.9,11.2,Middle School,2019-2020
Col. E. Brooke Lee MS,771,53.7,46.3,≤5.0,7.5,23.1,62.6,≤5.0,≤5.0,≤5.0,23.2,63.9,15.7,Middle School,2019-2020
A. Mario Loiederman MS,999,35.0,65.0,≤5.0,≤5.0,15.4,62.7,≤5.0,14.2,≤5.0,22.2,54.9,11.9,Middle School,2019-2020
Montgomery Village MS,790,53.7,46.3,≤5.0,7.3,26.6,56.8,≤5.0,5.8,≤5.0,21.5,65.4,19.7,Middle School,2019-2020
Neelsville MS,945,52.0,48.0,≤5.0,8.6,30.4,52.8,≤5.0,5.1,≤5.0,22.5,65.7,10.3,Middle School,2019-2020
Newport Mill MS,702,54.7,45.3,≤5.0,7.3,15.1,55.3,≤5.0,15.4,6.0,22.1,46.6,18.8,Middle School,2019-2020
North Bethesda MS,1233,51.3,48.7,≤5.0,12.2,9.7,13.1,≤5.0,56.4,8.0,≤5.0,7.8,8.6,Middle School,2019-2020
Parkland MS,1141,55.0,45.0,≤5.0,14.4,21.6,52.5,≤5.0,8.5,≤5.0,15.1,50.9,9.7,Middle School,2019-2020
Rosa M. Parks MS,868,51.8,48.2,≤5.0,10.5,13.9,13.4,≤5.0,55.8,6.5,≤5.0,12.7,12.3,Middle School,2019-2020
John Poole MS,390,55.1,44.9,≤5.0,6.7,6.2,13.1,≤5.0,68.7,5.1,≤5.0,12.8,13.1,Middle School,2019-2020
Thomas W. Pyle MS,1534,52.0,48.0,≤5.0,14.0,≤5.0,10.6,≤5.0,64.3,7.7,≤5.0,≤5.0,8.6,Middle School,2019-2020
Redland MS,635,51.3,48.7,≤5.0,11.2,22.5,39.7,≤5.0,20.0,6.0,14.0,42.4,10.6,Middle School,2019-2020
Ridgeview MS,784,51.3,48.7,≤5.0,11.6,15.8,30.5,≤5.0,37.8,≤5.0,9.8,30.1,10.7,Middle School,2019-2020
Rocky Hill MS,883,49.3,50.7,≤5.0,29.6,24.9,17.4,≤5.0,21.1,6.5,≤5.0,20.0,10.0,Middle School,2019-2020
Shady Grove MS,575,49.7,50.3,≤5.0,12.2,20.7,41.4,≤5.0,21.6,≤5.0,16.7,43.1,16.3,Middle School,2019-2020
Silver Creek MS,887,48.4,51.6,≤5.0,6.3,21.4,19.5,≤5.0,47.7,5.1,8.9,24.1,8.9,Middle School,2019-2020
Silver Spring International MS,1153,50.8,49.2,≤5.0,5.4,21.7,42.7,≤5.0,25.5,≤5.0,16.3,40.2,15.1,Middle School,2019-2020
Sligo MS,722,53.9,46.1,≤5.0,7.5,18.6,42.7,≤5.0,27.4,≤5.0,16.3,42.8,12.0,Middle School,2019-2020
Takoma Park MS,1162,53.9,46.1,≤5.0,14.5,34.0,17.0,≤5.0,29.3,≤5.0,7.7,26.5,7.5,Middle School,2019-2020
Tilden MS,989,51.2,48.8,≤5.0,16.8,12.6,21.5,≤5.0,43.9,≤5.0,10.2,14.6,14.4,Middle School,2019-2020
Hallie Wells MS,873,52.3,47.7,≤5.0,35.2,20.4,13.3,≤5.0,24.3,6.8,≤5.0,16.6,8.0,Middle School,2019-2020
Julius West MS,1382,53.1,46.9,≤5.0,18.1,16.5,27.3,≤5.0,32.1,5.5,9.8,28.1,11.0,Middle School,2019-2020
Westland MS,808,47.6,52.4,≤5.0,7.4,8.2,18.2,≤5.0,59.0,6.9,5.8,7.8,12.0,Middle School,2019-2020
White Oak MS,845,52.1,47.9,≤5.0,8.0,31.2,53.8,≤5.0,≤5.0,≤5.0,21.9,64.5,7.9,Middle School,2019-2020
Earle B. Wood MS,994,52.1,47.9,≤5.0,11.2,12.7,45.9,≤5.0,25.1,5.1,13.7,38.3,16.6,Middle School,2019-2020
Bethesda-Chevy Chase HS,2257,51.6,48.4,≤5.0,5.4,14.3,17.2,≤5.0,57.6,5.3,7.0,10.8,7.0,High School,2019-2020
Montgomery Blair HS,3223,53.5,46.5,≤5.0,14.0,24.2,33.7,≤5.0,23.9,≤5.0,17.7,33.3,7.7,High School,2019-2020
James Hubert Blake HS,1795,45.7,54.3,≤5.0,10.3,41.1,28.9,≤5.0,15.9,≤5.0,≤5.0,34.5,9.6,High School,2019-2020
Winston Churchill HS,2274,53.0,47.0,≤5.0,30.2,9.3,7.8,≤5.0,46.7,5.6,≤5.0,≤5.0,10.0,High School,2019-2020
Clarksburg HS,2472,48.9,51.1,≤5.0,21.8,30.1,26.4,≤5.0,17.2,≤5.0,7.0,26.5,9.3,High School,2019-2020
