school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
East Silver Spring ES,484,54.1,45.9,≤5.0,5.2,52.5,22.3,≤5.0,17.1,≤5.0,34.1,56.8,15.7,Elementary School,2012-2013,,
Fairland ES,602,50.3,49.7,≤5.0,9.8,57.0,20.6,≤5.0,9.3,≤5.0,19.9,54.2,8.0,Elementary School,2012-2013,,
Fallsmead ES,531,52.9,47.1,≤5.0,31.5,7.5,8.9,≤5.0,47.5,≤5.0,13.0,8.3,8.3,Elementary School,2012-2013,,
Farmland ES,650,52.5,47.5,≤5.0,35.2,≤5.0,8.2,≤5.0,47.5,≤5.0,28.3,7.2,7.5,Elementary School,2012-2013,,
Fields Road ES,472,49.8,50.2,≤5.0,18.9,18.0,23.9,≤5.0,33.3,5.5,19.7,38.6,7.4,Elementary School,2012-2013,,
Flower Hill ES,483,48.9,51.1,≤5.0,14.5,28.8,42.2,≤5.0,8.5,5.6,35.2,65.2,10.6,Elementary School,2012-2013,,
Flower Valley ES,472,52.1,47.9,≤5.0,10.4,12.7,18.9,≤5.0,54.2,≤5.0,11.2,17.4,13.6,Elementary School,2012-2013,,
Forest Knolls ES,683,51.0,49.0,≤5.0,7.2,14.2,41.3,≤5.0,32.8,≤5.0,28.3,40.0,9.2,Elementary School,2012-2013,,
Fox Chapel ES,622,52.6,47.4,≤5.0,21.5,24.6,38.7,≤5.0,11.1,≤5.0,36.2,51.6,5.5,Elementary School,2012-2013,,
Gaithersburg ES,740,50.4,49.6,≤5.0,5.7,16.1,70.0,≤5.0,5.7,≤5.0,52.2,77.4,8.1,Elementary School,2012-2013,,
Galway ES,826,49.9,50.1,≤5.0,13.3,56.9,22.5,≤5.0,≤5.0,≤5.0,28.6,56.1,8.5,Elementary School,2012-2013,,
Garrett Park ES,632,52.7,47.3,≤5.0,15.8,8.7,25.0,≤5.0,42.7,7.0,21.7,13.8,5.2,Elementary School,2012-2013,,
Georgian Forest ES,554,54.9,45.1,≤5.0,8.7,36.5,44.9,≤5.0,7.0,≤5.0,34.8,76.2,8.5,Elementary School,2012-2013,,
Germantown ES,298,52.0,48.0,≤5.0,16.4,29.9,30.9,≤5.0,19.8,≤5.0,12.4,30.2,15.1,Elementary School,2012-2013,,
"William B. Gibbs, Jr. ES",753,50.1,49.9,≤5.0,32.9,19.8,16.3,≤5.0,24.0,6.5,20.6,25.8,12.6,Elementary School,2012-2013,,
Glen Haven ES,554,52.0,48.0,≤5.0,9.0,22.7,51.3,≤5.0,13.9,≤5.0,36.8,67.7,11.9,Elementary School,2012-2013,,
Glenallan ES,468,49.8,50.2,≤5.0,11.8,29.3,48.5,≤5.0,6.0,≤5.0,38.7,67.9,8.5,Elementary School,2012-2013,,
Goshen ES,580,49.7,50.3,≤5.0,11.0,26.4,28.8,≤5.0,26.4,7.1,24.1,39.1,14.0,Elementary School,2012-2013,,
