school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Gaithersburg HS,2388,52.9,47.1,≤5.0,7.6,23.9,50.1,≤5.0,14.9,≤5.0,23.1,40.1,13.7,High School,2017-2018
Walter Johnson HS,2475,52.1,47.9,≤5.0,12.2,9.9,17.7,≤5.0,54.3,5.6,5.7,7.5,11.1,High School,2017-2018
John F. Kennedy HS,1720,48.7,51.3,≤5.0,6.7,28.6,58.1,≤5.0,≤5.0,≤5.0,25.8,46.9,14,High School,2017-2018
Col. Zadok Magruder HS,1617,52.1,47.9,≤5.0,12.2,17.6,39.1,≤5.0,25.9,5.1,12.2,33.4,11.6,High School,2017-2018
Richard Montgomery HS,2428,49.8,50.2,≤5.0,24.7,17.5,23.4,≤5.0,29.5,≤5.0,8.9,19.5,7,High School,2017-2018
Northwest HS,2508,50.6,49.4,≤5.0,20,26.3,20.5,≤5.0,28,≤5.0,≤5.0,22.5,9.8,High School,2017-2018
Northwood HS,1731,47.5,52.5,≤5.0,5.6,24.6,53.4,≤5.0,13.5,≤5.0,23.5,52.5,10.2,High School,2017-2018
Paint Branch HS,2000,49.9,50.2,≤5.0,13.3,58,18.9,≤5.0,6.4,≤5.0,≤5.0,34.9,9.7,High School,2017-2018
Poolesville HS,1183,51.4,48.6,≤5.0,30,5.5,7.7,≤5.0,50.8,5.7,≤5.0,6.2,5.4,High School,2017-2018
Quince Orchard HS,2031,50.8,49.2,≤5.0,13.6,15.1,26.6,≤5.0,40.1,≤5.0,11.8,21.3,9.9,High School,2017-2018
Rockville HS,1476,54.9,45.1,≤5.0,11.3,13.3,41.1,≤5.0,30.5,≤5.0,12.7,31.4,14.6,High School,2017-2018
Seneca Valley HS,1187,48.9,51.1,≤5.0,11.9,34.5,32.9,≤5.0,16.1,≤5.0,13.3,37,13.6,High School,2017-2018
Sherwood HS,1967,51.0,49.0,≤5.0,11.2,15.7,18.5,≤5.0,50,≤5.0,12.2,15.2,9.3,High School,2017-2018
Springbrook HS,1796,59.9,40.1,≤5.0,12.8,38,38.5,≤5.0,7.2,≤5.0,17.7,45.6,8.9,High School,2017-2018
Watkins Mill HS,1660,52.6,47.4,≤5.0,8,29.8,50.2,≤5.0,7.7,≤5.0,24.2,50.2,11.9,High School,2017-2018
Wheaton HS,1958,59.8,40.2,≤5.0,12.2,22.6,54.7,≤5.0,8.5,≤5.0,21.1,49.7,8.8,High School,2017-2018
Walt Whitman HS,2085,51.7,48.3,≤5.0,15.2,≤5.0,8.7,≤5.0,66.8,≤5.0,≤5.0,≤5.0,9.1,High School,2017-2018
Thomas S. Wootton HS,2134,50.7,49.3,≤5.0,37.1,6.4,7.7,≤5.0,44.2,≤5.0,≤5.0,≤5.0,6,High School,2017-2018
