school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Northwood HS,1585,50.0,50.0,≤5.0,6.4,24.3,52.2,≤5.0,14.2,≤5.0,17.7,47.9,11.9,High School,2014-2015
Paint Branch HS,1989,51.4,48.6,≤5.0,14.7,54.7,16.8,≤5.0,10.0,≤5.0,≤5.0,36.1,9.8,High School,2014-2015
Poolesville HS,1223,50.7,49.3,≤5.0,25.8,5.7,6.9,≤5.0,54.5,6.6,≤5.0,7.2,5.4,High School,2014-2015
Quince Orchard HS,1889,50.3,49.7,≤5.0,12.4,14.8,23.1,≤5.0,45.1,≤5.0,6.5,22.6,9.0,High School,2014-2015
Rockville HS,1331,52.7,47.3,≤5.0,11.0,13.9,36.7,≤5.0,34.2,≤5.0,9.5,32.0,15.6,High School,2014-2015
Seneca Valley HS,1278,50.6,49.4,≤5.0,11.1,35.7,26.8,≤5.0,21.4,≤5.0,9.2,38.3,14.0,High School,2014-2015
Sherwood HS,1890,50.4,49.6,≤5.0,12.0,17.6,13.8,≤5.0,52.7,≤5.0,8.1,16.9,9.0,High School,2014-2015
Springbrook HS,1747,56.3,43.7,≤5.0,11.2,41.9,35.7,≤5.0,8.2,≤5.0,10.2,45.2,10.3,High School,2014-2015
Watkins Mill HS,1492,53.2,46.8,≤5.0,9.9,34.9,40.0,≤5.0,11.0,≤5.0,13.7,53.8,11.8,High School,2014-2015
Wheaton HS,1465,58.0,42.0,≤5.0,10.0,24.8,54.5,≤5.0,8.3,≤5.0,17.1,54.4,11.8,High School,2014-2015
Walt Whitman HS,1902,49.6,50.4,≤5.0,12.2,≤5.0,9.0,≤5.0,69.5,5.6,≤5.0,≤5.0,9.8,High School,2014-2015
Thomas S. Wootton HS,2190,51.1,48.9,≤5.0,35.5,6.8,7.7,≤5.0,46.2,≤5.0,≤5.0,5.2,6.8,High School,2014-2015
