school,Total,Male,Female,X,AM,AS,BL,HI,PI,MU,WH,EML,FARMS,special_ed,Level,Year
Gaithersburg HS,2285,53.0,46.9,≤5.0,≤5.0,5.6,21.7,58.8,≤5.0,≤5.0,10.9,23.1,59.7,14.9,High School,2021-2022
Walter Johnson HS,2870,51.6,48.2,≤5.0,≤5.0,12.9,12.4,17.8,≤5.0,6.3,50.3,5.3,13.2,10.5,High School,2021-2022
John F. Kennedy HS,1776,49.3,50.7,≤5.0,≤5.0,5.6,23.3,64.6,≤5.0,≤5.0,≤5.0,24.2,68.8,16.7,High School,2021-2022
Col. Zadok Magruder HS,1616,53.1,46.8,≤5.0,≤5.0,13.0,18.5,42.0,≤5.0,≤5.0,22.3,12.9,43.9,12.5,High School,2021-2022
Richard Montgomery HS,2334,49.3,50.6,≤5.0,≤5.0,24.3,15.6,24.0,≤5.0,5.7,30.1,7.5,27.2,7.8,High School,2021-2022
Northwest HS,2519,51.1,48.8,≤5.0,≤5.0,21.3,26.4,23.1,≤5.0,≤5.0,24.1,≤5.0,29.4,8.9,High School,2021-2022
Northwood HS,1784,47.9,51.8,≤5.0,≤5.0,5.7,25.7,53.1,≤5.0,≤5.0,12.7,20.3,60.7,10.2,High School,2021-2022
Paint Branch HS,2061,49.0,50.9,≤5.0,≤5.0,11.6,59.2,23.0,≤5.0,≤5.0,≤5.0,5.4,52.5,10.9,High School,2021-2022
Poolesville HS,1272,49.5,50.4,≤5.0,≤5.0,36.3,6.0,9.7,≤5.0,5.4,42.5,≤5.0,8.7,6.2,High School,2021-2022
Quince Orchard HS,2069,52.2,47.7,≤5.0,≤5.0,10.4,17.4,30.7,≤5.0,≤5.0,36.8,10.2,35.5,10.6,High School,2021-2022
Rockville HS,1407,54.2,45.8,≤5.0,≤5.0,11.1,14.9,43.2,≤5.0,≤5.0,26.2,12.4,41.4,19.5,High School,2021-2022
Seneca Valley HS,2040,51.7,48.2,≤5.0,≤5.0,9.6,38.5,33.8,≤5.0,5.1,12.8,10.1,49.0,13.9,High School,2021-2022
Sherwood HS,1769,53.1,46.6,≤5.0,≤5.0,11.8,15.5,19.1,≤5.0,≤5.0,48.7,7.6,18.3,11.1,High School,2021-2022
Springbrook HS,1681,57.9,41.9,≤5.0,≤5.0,10.4,38.4,42.7,≤5.0,≤5.0,5.7,18.6,59.0,7.9,High School,2021-2022
Watkins Mill HS,1594,54.5,45.4,≤5.0,≤5.0,9.8,23.5,58.6,≤5.0,≤5.0,5.3,28.4,67.9,13.4,High School,2021-2022
Wheaton HS,2375,59.2,40.7,≤5.0,≤5.0,11.3,19.6,56.2,≤5.0,≤5.0,10.3,18.4,58.2,9.7,High School,2021-2022
Walt Whitman HS,2029,52.1,47.8,≤5.0,≤5.0,14.3,≤5.0,11.2,≤5.0,7.5,63.0,≤5.0,≤5.0,9.5,High School,2021-2022
Thomas S. Wootton HS,1943,50.7,49.2,≤5.0,≤5.0,36.0,11.8,8.0,≤5.0,≤5.0,40.0,≤5.0,8.2,8.0,High School,2021-2022
